db	organisation_id	name	segment	route_before	route_after	websites	emails	phones	postal	socials	named_contacts_before	new_named_leads	methods	blocked
master	O9ffcbf6bd74a	Mount Meru Regional Referral Hospital	Hospital	True	True	https://www.mtmerurrh.go.tz/	admin@mtmerurrh.go.tz (role) | customercaremtmeru@gmail.com (personal_domain)	+255748535480 (mobile) | +255272503351 (office)	P.O. Box 3092, Arusha		2	0	search	
master	Ocfbf08472950	LEOPARD TOURS LTD	Safari operator	True	True						1	0		leopard-tours.com: home page not readable: HTTP 403
master	Ofcb6a215ae14	University of Arusha	University	True	True						1	0		
master	Ob130f68ba9de	Nelson Mandela African Institution of Science and Technology	University	True	True						1	0		
master	O624575550ed4	Africa Dream Safaris	Safari operator	True	True	https://www.africadreamsafaris.com:443/		+18775723274 (international) | +255752225554 (mobile)	P.O. Box 2189 Arusha, Tanzania	facebook: https://www.facebook.com/AfricaDreamSafaris | twitter: https://x.com/ads_safaris | instagram: http://instagram.com/africadreamsafaris	1	0	website	
master	O108f9c734a63	Serengeti Balloon Safaris	Safari operator	True	True	https://www.balloonsafaris.com/	bookings@balloonsafaris.co.tz (role) | pascal@balloonsafaris.co.tz (named)	+447810571710 (international) | +255755721521 (mobile) | +255786688806 (mobile) | +255756055330 (mobile)	P O Box 12116, Arusha, Tanzania	instagram: https://www.instagram.com/reel/DdjeWI1s6ew/ | facebook: https://www.facebook.com/1525149342316134/posts/1741065224057877 | youtube: https://www.youtube.com/channel/UCAE1dDSvCa1yGiaLmImdElA | linkedin: https://www.linkedin.com/company/serengeti-balloon-safaris-limited/ | twitter: https://twitter.com/SafarisBalloon | tiktok: https://www.tiktok.com/@serengeti_balloonsafaris | whatsapp: https://wa.me/255786688806	5	0	website	
master	O772be5f49cd4	Arusha Lutheran Medical Centre (ALMC)	Hospital	True	True						1	0		
master	O98e535c184cf	Selian Lutheran Hospital	Hospital	True	True						1	0		
master	O79dedb6329bb	Safaris-R-Us Ltd	Safari operator	True	True	https://safaris-r-us.com/	info@safaris-r-us.com (role)	+255626249125 (mobile) | +255620267828 (mobile)		facebook: https://www.facebook.com/ | youtube: https://www.youtube.com/ | twitter: https://twitter.com/ | instagram: https://www.instagram.com/ | whatsapp: https://api.whatsapp.com/send?phone=255626249125	1	0	website	
master	O35c0ce5e291d	Elewana Arusha Coffee Lodge	Hotel / lodge group	True	True	https://www.elewanacollection.com/arusha-coffee-lodge/at-a-glance	reservations@elewana.com (role)	+255784250630 (mobile) | +255754250630 (mobile) | +255788650511 (mobile)		facebook: https://www.facebook.com/elewanacollection/ | instagram: https://www.instagram.com/elewanacollection/ | twitter: https://twitter.com/elewana	3	0	search	
master	Odd507e2892f9	Arusha Technical College	College	True	True	https://www.atc.ac.tz/	rector@atc.ac.tz (general) | dhrma@atc.ac.tz (general)	+255272970056 (office)	P.O. Box 296, Arusha		3	3	search	
master	O13d6874ab549	Shadows of Africa Ltd	Safari operator	True	True	https://www.shadowsofafrica.com/	info@shadowsofafrica.com (role) | info@talesofzanzibar.com (role) | jake@shadowsofafrica.com (general) | ben@shadowsofafrica.com (general) | igor@shadowsofafrica.com (named) | giulia@shadowsofafrica.com (general) | jessica@shadowsofafrica.com (general) | marion@shadowsofafrica.com (general) | lesia@shadowsofafrica.com (general) | tash@shadowsofafrica.com (general) | info@tatotz.org (role) | info@rttarwanda.org (role)	+15853121991 (international) | +255784954453 (mobile) | +255622134453 (mobile) | +13323318621 (international) | +18005599144 (international) | +38668924927 (international) | +255683585634 (mobile) | +390109848327 (international) | +380443002563 (international) | +74991139965 (international) | +255272504188 (office) | +250788740465 (international)	P.O Box 1530 Kigali | P.O Box 18942, Postal Code 00500, Nairobi | P.O. Box 5415 Reno, NV 89513 | P.O. Box 6162 Tanzania	whatsapp: https://api.whatsapp.com/send?phone=13323318621&text=I'm%20interested%20in%20...&text=I'm%20interested%20in%20...	3	0	openstreetmap, website	
master	O1abe9227eaf0	Duma Explorer (Alika Africa)	Safari operator	True	True						1	0		
master	Of71c0f704b70	CORTO SAFARIS Ltd	Safari operator	True	True	https://cortosafaris.com/			PO BOX 12267	tiktok: https://www.tiktok.com/@corto_safaris | instagram: https://www.instagram.com/corto_safaris/ | facebook: https://www.facebook.com/CortoSafaris/	5	0	website	
master	O59ec53702e66	Parks East Africa Ltd	Safari operator	True	True	https://parkeastafrica.com/	office@parkeastafrica.com (role) | info@parkeastafrica.com (role)	+255754862557 (mobile)	P.O. Box 747, Arusha, Tanzania	facebook: https://www.facebook.com/parkeastafrica/	1	0	website	
master	O8d7a8c0ff2cd	Serengeti Big Cats Safaris Ltd	Safari operator	True	True	https://serengeti-big-cats-safaris.com/	marketing@serengeti-big-cats-safaris.com (role)	+255767070880 (mobile) | +255755876888 (mobile) | +255685893733 (mobile)	P.O. Box 13036 Arusha, Tanzanie | P.O. Box 13036,	facebook: https://www.facebook.com/serengetibigcats/?locale=fr_FR | instagram: https://www.instagram.com/serengetibigcats/ | youtube: https://www.youtube.com/@serengetibigcatssafaris	3	0	website	
master	Oeacd041c2d5f	Matembezi Company Ltd	Safari operator	True	True	https://matembezi.co.tz/	hagai@matembezi.co.tz (named) | info@matembezi.co.tz (role) | stephanie@matembezi.co.tz (named) | christian@matembezi.co.tz (general)	+255738261312 (mobile) | +255677019621 (mobile) | +255677019622 (mobile) | +255686305746 (mobile)		instagram: https://www.instagram.com/p/CtRJG2RMVsy/ | facebook: https://www.facebook.com/Matembezi/	4	0	website	
master	O502fd116053c	Aga Khan Health Services - Arusha	Clinic	True	True	https://agakhanhospitals.org/en/outreach-health-centres-tanzania	arusha.outreach@akhst.org (general)	+255655231233 (mobile)		youtube: https://www.youtube.com | facebook: https://www.facebook.com/agakhanhospitaldsm/ | twitter: https://twitter.com/akhstanzania?t=RHFt82nO_wyGmHRRKjFQYQ&s=09 | instagram: https://instagram.com/agakhanhospitaldsm?utm_medium=copy_link	6	10	search, website	
master	O8e2124eb99e3	BUSHBUCK SAFARIS LIMITED	Safari operator	True	True	https://www.bushbuckltd.com/	bushbuck@bushbucksafaris.co.tz (general)	+255738777999 (mobile) | +255782175175 (mobile) | +255756788886 (mobile)		twitter: https://twitter.com/bushbuckltd | facebook: https://www.facebook.com/bushbucksafaristanzania/ | instagram: https://www.instagram.com/bushbucksafaristz/ | youtube: https://www.youtube.com/channel/UCVOqklxRBSuFKqhiR5QTaag?view_as=subscriber | linkedin: https://www.linkedin.com/company/bushbuck-safaris/ | whatsapp: https://wa.me/255786989898	1	0	website	
master	O6b0bb1aea506	CHELI & PEACOCK SAFARIS (T) LTD	Safari operator	True	True	https://chelipeacock.com/	safaris@chelipeacock.com (role) | info@chelipeacock.com (role) | dutymanager.kenya@chelipeacock.com (general) | dutymanager.tanzania@chelipeacock.com (general) | dutymanager.zanzibar@chelipeacock.com (general) | dutymanager.rwanda@chelipeacock.com (general) | simon@orbitalcommunications.co.uk (general) | rita@a2bmarketing.com (general) | shannon.everard@chelipeacock.com (named) | jochen@spice-collection.com (general) | rejane@the-r-list.com (general) | aymeric.naudin@linkservices.cn (general) | laura@laurashelbourne.com (general)	+255730721000 (mobile) | +254730721000 (international) | +254758705187 (international) | +255762784565 (mobile) | +255764040099 (mobile) | +250788317757 (international) | +447769885436 (international) | +441603291806 (international) | +19546268150 (international) | +19785011885 (international) | +498945240535 (international) | +33648085002 (international) | +8613070192921 (international) | +447957322275 (international)		instagram: https://www.instagram.com/chelipeacocksafaris/ | facebook: https://web.facebook.com/cheliandpeacocksafaris | linkedin: https://www.linkedin.com/company/chelipeacocksafaris/	1	0	website	
master	O8c14707e75de	Easy Travel and Tours Ltd	Safari operator	True	True	https://www.easytravel.co.tz/	info@easytravel.co.tz (role)	+255754400141 (mobile)		whatsapp: https://wa.me/+255754400141 | facebook: https://www.facebook.com/EasyTravelTanzania/ | instagram: https://www.instagram.com/easytraveltanzania/ | twitter: https://twitter.com/easytraveltz	1	0	website	
master	Oc0616ccade39	Gran Melia Arusha	Hotel	True	True	https://www.melia.com/en/hotels/tanzania/arusha/gran-melia-arusha	gran.melia.arusha@melia.com (general)	+255746982400 (mobile)	P.O. Box 1184, Arusha 23110	facebook: https://www.facebook.com/GranMeliaArusha/ | instagram: https://www.instagram.com/granmeliaarusha/ | linkedin: https://tz.linkedin.com/company/gran-melia-arusha	0	0	search	
master	O260986e0bfff	Grumeti Expeditions Ltd (Lemala Camps)	Safari operator	True	True	https://www.lemalacamps.com/	res@lemalacamps.com (general)	+255682933933 (mobile) | +255783398633 (mobile) | +255785398574 (mobile) | +255680377372 (mobile)	P.O. Box 14529, Arusha	facebook: https://www.facebook.com/Lemala.Camp | instagram: https://www.instagram.com/lemalacampslodges/	1	0	search	
master	Oc041bab2c73f	Institute of Accountancy Arusha (IAA)	College	True	True						1	0		
master	O648c07c096fa	ROY SAFARIS LTD	Safari operator	True	True	https://roysafaris.co.tz/	enquiries@roysafaris.co.tz (role)	+255745182923 (mobile) | +255272970713 (office)	P.O. Box 50,	whatsapp: https://wa.me/255745182923 | facebook: https://www.facebook.com/Team.RoySafaris/ | tiktok: https://www.tiktok.com/@roysafaris | instagram: https://www.instagram.com/roysafaris/ | youtube: https://www.youtube.com/@roysafaristanzania	0	0	website	
master	Oca648bce3527	Simba Safaris Ltd	Safari operator	True	True	https://simbasafaris.com/	marketing@simbasafaris.co.tz (role) | simba@simbasafaris.co.tz (named)	+255784786395 (mobile)		instagram: https://www.instagram.com/simba.safaris/ | facebook: https://www.facebook.com/simbasafaristanzania/ | youtube: https://youtube.com/@SimbaSafarisLtd?si=UW7Gfaqy51EiefP2 | twitter: https://twitter.com/SimbaSafaris | whatsapp: https://api.whatsapp.com/send/?phone=255784786394&text&type=phone_number&app_absent=0	1	0	website	
master	O2aae84638d6a	SNV Tanzania	NGO	True	True	www.snvworld.org					1	0	openstreetmap	
master	O7c1f7a743d65	St. Augustine University of Tanzania - Arusha Campus	University	True	True	https://sautarusha.ac.tz	admission@sautarusha.ac.tz (general)				1	0	openstreetmap	
