record_key	level	name	council	region	admin_district	core_council	population_2022	male_2022	female_2022	households_2022	avg_household_size_2022	census_source_location	lat	lon	geocode_precision	location_source	location_ref	location_note	campus	distance_km	transport_band	nearest_primary_campus	distance_to_primary_km	primary_band	campus_cluster	in_catchment	ward_score	ward_tier	rank_in_cluster	factors_known	score_factors
AU_ward_arusha-city-council_kati	ward	Kati	Arusha City Council	Arusha	Arusha	True	2547	1313	1234	622	4.1	Table 2.7, PDF page 62 (printed page 36), row 1	-3.37388889	36.68833333	estimated	wikipedia	Kati, Arusha	Wikipedia ward point; no OpenStreetMap evidence to corroborate it.	Kijenge	2.6	0-5 km	Arusha City	3.8	0-5 km	Arusha (Sakina, Kijenge, Ilboru)	yes	25.3	P3	43	2 of 5	"{""population_2022_relative"": 0.3, ""transport_band"": 25.0, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_arusha-city-council_kaloleni	ward	Kaloleni	Arusha City Council	Arusha	Arusha	True	7425	3464	3961	2444	3.0	Table 2.7, PDF page 62 (printed page 36), row 2	-3.36222222	36.6875	estimated	wikipedia	Kaloleni, Tanzania	Wikipedia ward point; no OpenStreetMap evidence to corroborate it.	Ilboru	1.8	0-5 km	Arusha City	3.1	0-5 km	Arusha (Sakina, Kijenge, Ilboru)	yes	29.2	P3	38	2 of 5	"{""population_2022_relative"": 4.2, ""transport_band"": 25.0, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_arusha-city-council_sekei	ward	Sekei	Arusha City Council	Arusha	Arusha	True	7707	3721	3986	2489	3.1	Table 2.7, PDF page 62 (printed page 36), row 3	-3.3698	36.6943	estimated	wikipedia	Sekei, Arusha	Wikipedia ward point, corroborated by the OpenStreetMap village 'Sekei' 0.5 km away.	Kijenge	2.3	0-5 km	Arusha City	4.1	0-5 km	Arusha (Sakina, Kijenge, Ilboru)	yes	29.7	P3	35	2 of 5	"{""population_2022_relative"": 4.7, ""transport_band"": 25.0, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_arusha-city-council_themi	ward	Themi	Arusha City Council	Arusha	Arusha	True	9204	4467	4737	2844	3.2	Table 2.7, PDF page 62 (printed page 36), row 4	-3.3992	36.7052	estimated	wikipedia	Themi	Wikipedia ward point, corroborated by the centre of 3 OpenStreetMap places listed under 'Themi' (spread 1.6 km) 0.9 km away.	Kijenge	1.8	0-5 km	Arusha City	7.1	6-10 km	Arusha (Sakina, Kijenge, Ilboru)	yes	29.3	P3	36	2 of 5	"{""population_2022_relative"": 6.8, ""transport_band"": 22.5, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_arusha-city-council_daraja-2	ward	Daraja II	Arusha City Council	Arusha	Arusha	True	16555	7968	8587	5419	3.1	Table 2.7, PDF page 62 (printed page 36), row 5	-3.38305556	36.69	estimated	wikipedia	Daraja Mbili	Wikipedia ward point; no OpenStreetMap evidence to corroborate it.	Kijenge	2.2	0-5 km	Arusha City	4.6	0-5 km	Arusha (Sakina, Kijenge, Ilboru)	yes	46.1	P1	13	2 of 5	"{""population_2022_relative"": 21.1, ""transport_band"": 25.0, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_arusha-city-council_unga-limited	ward	Unga Ltd	Arusha City Council	Arusha	Arusha	True	14006	6984	7022	4723	3.0	Table 2.7, PDF page 62 (printed page 36), row 6	-3.37867222	36.6777	estimated	wikipedia	Unga Limited	Wikipedia ward point; no OpenStreetMap evidence to corroborate it.	Arusha City	3.4	0-5 km	Arusha City	3.4	0-5 km	Arusha (Sakina, Kijenge, Ilboru)	yes	42.4	P1	17	2 of 5	"{""population_2022_relative"": 17.4, ""transport_band"": 25.0, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_arusha-city-council_ngarenaro	ward	Ngarenaro	Arusha City Council	Arusha	Arusha	True	8812	4307	4505	3003	2.9	Table 2.7, PDF page 62 (printed page 36), row 7	-3.3693	36.6756	estimated	wikipedia	Ngarenaro	Wikipedia ward point, corroborated by the centre of 2 OpenStreetMap places listed under 'Ngarenaro' (spread 0.2 km) 0.5 km away.	Arusha City	2.4	0-5 km	Arusha City	2.4	0-5 km	Arusha (Sakina, Kijenge, Ilboru)	yes	31.3	P2	33	2 of 5	"{""population_2022_relative"": 6.3, ""transport_band"": 25.0, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_arusha-city-council_levolosi	ward	Levolosi	Arusha City Council	Arusha	Arusha	True	6317	3182	3135	1782	3.5	Table 2.7, PDF page 62 (printed page 36), row 8	-3.3685	36.6827	estimated	wikipedia	Levolosi	Wikipedia ward point, corroborated by the OpenStreetMap place 'Majengo, Levolosi', listed under 'Levolosi' 0.4 km away.	Ilboru	2.7	0-5 km	Arusha City	2.9	0-5 km	Arusha (Sakina, Kijenge, Ilboru)	yes	27.6	P3	40	2 of 5	"{""population_2022_relative"": 2.6, ""transport_band"": 25.0, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_arusha-city-council_kimandolu	ward	Kimandolu	Arusha City Council	Arusha	Arusha	True	28760	13289	15471	9417	3.1	Table 2.7, PDF page 62 (printed page 36), row 9	-3.36777778	36.71611111	estimated	wikipedia	Kimandolu	Wikipedia ward point, corroborated by the OpenStreetMap village 'Kimandolu' 0.0 km away.	Kijenge	1.9	0-5 km	Arusha City	6.3	6-10 km	Arusha (Sakina, Kijenge, Ilboru)	yes	50.4	P1	5	2 of 5	"{""population_2022_relative"": 27.9, ""transport_band"": 22.5, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_arusha-city-council_baraa	ward	Baraa	Arusha City Council	Arusha	Arusha	True	18331	8408	9923	5272	3.5	Table 2.7, PDF page 62 (printed page 36), row 10	-3.3805	36.73822222	estimated	wikipedia	Baraa	Wikipedia ward point, corroborated by the OpenStreetMap place 'Kwa Mrefu, Baraa', listed under 'Baraa' 1.0 km away.	Kijenge	3.2	0-5 km	Arusha City	9.1	6-10 km	Arusha (Sakina, Kijenge, Ilboru)	yes	44.9	P1	15	2 of 5	"{""population_2022_relative"": 22.4, ""transport_band"": 22.5, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
