organisation	host	kind	item_id	date	title	tags	listing_url
Moshi District Council	moshidc.go.tz	news	9643	2026-09-17	SIKU YA USAFI DUNIANI	exhibition_or_public_event	https://moshidc.go.tz/api/news?page=1&limit=50
Moshi District Council	moshidc.go.tz	news	9639	2026-09-17	MWEZI WA MAENDELEO YA JAMII: MSELE AWATAKA WANANCHI KUSHIRIKI, KUTUMIA FURSA NA KUIJENGA JAMII YENYE MAENDELEO	parents_or_education, exhibition_or_public_event	https://moshidc.go.tz/api/news?page=1&limit=50
Siha District Council	sihadc.go.tz	news	9384	2026-09-10	ZAIDI YA WANANCHI 250 WAFIKIWA NA KLINIKI YA MAENDELEO YA JAMII SIHA, ELIMU YA UJASIRIAMALI, MIKOPO NA MSAADA WA KISHERIA YATOLEWA.	parents_or_education, exhibition_or_public_event	https://sihadc.go.tz/api/news?page=1&limit=50
Siha District Council	sihadc.go.tz	news	9340	2026-09-10	DC SIHA DKT. TIMBUKA AZINDUA KAMPENI YA UTOAJI WA CHANJO YA POLIO, WATOTO 42,049 KUFIKIWA	parents_or_education, election_period	https://sihadc.go.tz/api/news?page=1&limit=50
Hai District Council	haidc.go.tz	news	9207	2026-09-08	DED Hai awataka watumishi kufanya kazi kwa weledi	officials_training	https://haidc.go.tz/api/news?page=1&limit=50
Siha District Council	sihadc.go.tz	news	9352	2026-09-08	BARAZA LA MADIWANI LAMPONGEZA MKURUGENZI MTENDAJI KWA KUVUKA MALENGO YA UKUSANYAJI WA MAPATO KWA ASILIMIA 108 KWA MWAKA WA FEDHA 2025/2026	public_meeting, parents_or_education	https://sihadc.go.tz/api/news?page=1&limit=50
Hai District Council	haidc.go.tz	news	9208	2026-09-07	Elimu ya watu wazima yatajwa kuwa nyenzo ya kujikwamua kiuchumi	parents_or_education, exhibition_or_public_event	https://haidc.go.tz/api/news?page=1&limit=50
Arusha Regional Secretariat	arusha.go.tz	news	9434	2026-08-28	ARUSHA KUZIKUTANISHA NGO's 500 KWENYE JUKWAA LA MWAKA 2026	public_meeting	https://arusha.go.tz/api/news?page=1&limit=50
Hai District Council	haidc.go.tz	news	8594	2026-08-26	Wazazi watakiwa kutoa ushirikiano kwa wataam wa afya ili kufanikisha zoezi la chanjo ya polio	parents_or_education, election_period	https://haidc.go.tz/api/news?page=1&limit=50
Hai District Council	haidc.go.tz	news	8592	2026-08-26	MKUU WA MKOA AHIMIZA ASIACHWE MTOTO KWENYE ZOEZI LA CHANJO YA POLIO	parents_or_education, election_period	https://haidc.go.tz/api/news?page=1&limit=50
Arusha Regional Secretariat	arusha.go.tz	news	8534	2026-08-25	RC MAKALLA: UWEKAJI TAA UWANJA WA NDEGE ARUSHA UMEKAMILIKA	election_period	https://arusha.go.tz/api/news?page=1&limit=50
Arusha Regional Secretariat	arusha.go.tz	news	8533	2026-08-24	WAKUU WA WILAYA ZA MKOA WA ARUSHA WAJIZATITI USIMAMIZI CHANJO YA POLIO KWA WATOTO	parents_or_education, election_period	https://arusha.go.tz/api/news?page=1&limit=50
Arusha Regional Secretariat	arusha.go.tz	news	8531	2026-08-24	WASIMAMIZI 4,567 WAPATIWA ELIMU ZOEZI LA UTOAJI CHANJO YA POLIO ARUSHA	parents_or_education, officials_training, election_period	https://arusha.go.tz/api/news?page=1&limit=50
Arusha Regional Secretariat	arusha.go.tz	news	8530	2026-08-24	RC MAKALLA AHIMIZA USHIRIKI WA VIONGOZI NA WANANCHI KWENYE ZOEZI LA CHANJO YA POLIO	parents_or_education, election_period	https://arusha.go.tz/api/news?page=1&limit=50
Hai District Council	haidc.go.tz	news	8465	2026-08-24	Wazazi na walezi wameshauriwa na wataalamu wa afya ili kuhakikisha watoto wanapata chanjo ya polio	parents_or_education, election_period	https://haidc.go.tz/api/news?page=1&limit=50
Hai District Council	haidc.go.tz	news	8463	2026-08-24	kampeni kuanza tarehe 27 Agost Wilayani Hai	parents_or_education, election_period	https://haidc.go.tz/api/news?page=1&limit=50
Hai District Council	haidc.go.tz	news	8460	2026-08-23	Mkuu wa wilaya ya Hai Hassan Bomboko awataka watendaji kuhamasisha chanjo ya polio,watoto 63,270 kuchanjwa	parents_or_education, exhibition_or_public_event, officials_training, election_period	https://haidc.go.tz/api/news?page=1&limit=50
Arusha City Council	arushacc.go.tz	announcements	898	2026-08-22	KAMPENI YA CHANJO YA POLIO KWA WATOTO CHINI YA MIAKA 10	parents_or_education, election_period	https://arushacc.go.tz/api/announcements?page=1&limit=50
Hai District Council	haidc.go.tz	news	8381	2026-08-21	Wazazi watakiwa kuwahakikiaha watoto chini ya miaka kumi wanapata chanjo ya polio	parents_or_education, election_period	https://haidc.go.tz/api/news?page=1&limit=50
Moshi District Council	moshidc.go.tz	news	9094	2026-08-21	MOSHI DC YAADHIMISHA JUMA LA ELIMU YA WATU WAZIMA, SANAA YATUMIKA KUFIKISHA UJUMBE.	parents_or_education, exhibition_or_public_event	https://moshidc.go.tz/api/news?page=1&limit=50
Moshi District Council	moshidc.go.tz	news	9089	2026-08-18	MOSHI DC KUENDESHA KAMPENI YA CHANJO YA MATONE YA POLIO KWA WATOTO CHINI YA MIAKA 10	parents_or_education, election_period	https://moshidc.go.tz/api/news?page=1&limit=50
Arusha Regional Secretariat	arusha.go.tz	news	8423	2026-08-17	SERIKALI YAANZA UTEKELEZAJI WA UGAWAJI CHANJO YA POLIO KWA MIKOA SABA NCHINI	election_period	https://arusha.go.tz/api/news?page=1&limit=50
Arusha Regional Secretariat	arusha.go.tz	news	8422	2026-08-17	WATOTO 774, 459 CHINI YA MIAKA 10 KUPATIWA CHANJO YA POLIO MKOANI ARUSHA	parents_or_education, election_period	https://arusha.go.tz/api/news?page=1&limit=50
Hai District Council	haidc.go.tz	news	8097	2026-08-13	Vijana watakiwa kulinda amani	parents_or_education, exhibition_or_public_event	https://haidc.go.tz/api/news?page=1&limit=50
Arusha Regional Secretariat	arusha.go.tz	news	8075	2026-08-10	RC ARUSHA ASISITIZA USHIRIKIANO NA MTAZAMO WA PAMOJA KATIKA USIMAMIZI WA MIRADI YA MAENDELEO	parents_or_education, officials_training	https://arusha.go.tz/api/news?page=1&limit=50
Moshi District Council	moshidc.go.tz	news	7884	2026-08-09	NASEC AGRO ORGANIC YAIOMBA SERIKALI KUTOA RUZUKU KWA WAZALISHAJI WA MBOLEA ZA ASILI	exhibition_or_public_event	https://moshidc.go.tz/api/news?page=1&limit=50
Moshi District Council	moshidc.go.tz	news	7883	2026-08-09	DIWANI AITAKA MOSHI DC KUWEKEZA KWA WABUNIFU	exhibition_or_public_event	https://moshidc.go.tz/api/news?page=1&limit=50
Arusha Regional Secretariat	arusha.go.tz	news	7761	2026-08-08	RAS MANYARA: WAONESHAJI 446 WASHIRIKI MAONESHO YA 32 YA KILIMO NA MIFUGO KANDA YA KASKAZINI	parents_or_education, exhibition_or_public_event	https://arusha.go.tz/api/news?page=1&limit=50
Arusha Regional Secretariat	arusha.go.tz	news	7760	2026-08-08	RC MAKALLA: MAONESHO YA NANENANE MWAKA UJAO YATAAMBATANA NA MASHINDANO YA AFCON 2027 🇹🇿	parents_or_education, exhibition_or_public_event	https://arusha.go.tz/api/news?page=1&limit=50
Arusha Regional Secretariat	arusha.go.tz	news	7759	2026-08-08	RC MAKALLA AFUNGA MAONESHO YA NANENANE KANDA YA KASKAZINI	parents_or_education, exhibition_or_public_event	https://arusha.go.tz/api/news?page=1&limit=50
Arusha Regional Secretariat	arusha.go.tz	news	7736	2026-08-08	KILIMO NA UFUGAJI WENYE TIJA VINAHITAJI UTAFITI, TEKNOLOJIA NA ZANA ZA KISASA	exhibition_or_public_event	https://arusha.go.tz/api/news?page=1&limit=50
Kilimanjaro Regional Secretariat	kilimanjaro.go.tz	news	7803	2026-08-08	RC BABU AWATAKA WAKULIMA KUTUMIA MBOLEA YA RUZUKU NA ELIMU YA NANE NANE KUONGEZA TIJA	parents_or_education, exhibition_or_public_event	https://kilimanjaro.go.tz/api/news?page=1&limit=50
Monduli District Council	mondulidc.go.tz	news	7900	2026-08-08	Tawi la Yanga Halisi Monduli lachangia Damu Salama Katika Hospitali ya Wilaya ya Monduli	parents_or_education, exhibition_or_public_event	https://mondulidc.go.tz/api/news?page=1&limit=50
Moshi District Council	moshidc.go.tz	news	7786	2026-08-08	MOSHI DC YAIBUKA KINARA NANE NANE 2026	exhibition_or_public_event	https://moshidc.go.tz/api/news?page=1&limit=50
Siha District Council	sihadc.go.tz	news	7784	2026-08-08	SIHA DC YAIBUKA MSHINDI WA KWANZA WA NG'OMBE BORA WA NYAMA	exhibition_or_public_event	https://sihadc.go.tz/api/news?page=1&limit=50
Arusha Regional Secretariat	arusha.go.tz	news	7666	2026-08-07	WAZIRI OWM - TAMISEMI KUFUNGA MAONESHO YA 32 YA KILIMO NA MIFUGA NANENANE KANDA YA KASKAZINI	exhibition_or_public_event	https://arusha.go.tz/api/news?page=1&limit=50
Hai District Council	haidc.go.tz	news	7870	2026-08-07	Madiwani Hai kuhamasisha kilimo cha kisasa	parents_or_education, exhibition_or_public_event	https://haidc.go.tz/api/news?page=1&limit=50
Siha District Council	sihadc.go.tz	news	9332	2026-08-07	MAONESHO YA NANE NANE 2026	parents_or_education, exhibition_or_public_event	https://sihadc.go.tz/api/news?page=1&limit=50
Siha District Council	sihadc.go.tz	news	9329	2026-08-07	WITO WATOLEWA KWA WANANCHI KUJITOKEZA KUPATA ELIMU YA KILIMO, UFUGAJI NANE NANE KUONGEZA TIJA	parents_or_education, exhibition_or_public_event	https://sihadc.go.tz/api/news?page=1&limit=50
Arusha Regional Secretariat	arusha.go.tz	news	7638	2026-08-06	DC LONGIDO AWATAKA WAKULIMA NA WAFUGAJI KUTEKA SOKO LA MAZAO LA KIMATAIFA	parents_or_education, exhibition_or_public_event	https://arusha.go.tz/api/news?page=1&limit=50
Hai District Council	haidc.go.tz	news	7867	2026-08-06	Maafisa Kilimo kuanzisha shamba darasa kila kijiji	exhibition_or_public_event	https://haidc.go.tz/api/news?page=1&limit=50
Siha District Council	sihadc.go.tz	news	7780	2026-08-06	DC SIHA ATEMBELEA BANDA LA MAONESHO LA HALMASHAURI YA WILAYA YA SIHA	parents_or_education, exhibition_or_public_event	https://sihadc.go.tz/api/news?page=1&limit=50
Arusha Regional Secretariat	arusha.go.tz	news	7581	2026-08-05	SERIKALI YAAHIDI KUENDELEA KUWEKA MAZINGIRA RAFIKI KWA WAFUGAJI WA KANDA YA KASKAZINI	exhibition_or_public_event	https://arusha.go.tz/api/news?page=1&limit=50
Arusha Regional Secretariat	arusha.go.tz	news	7580	2026-08-04	MOSHI MGENI RASMI PAREDI YA MIFUGO NANENANE KANDA YA KASIKAZINI	exhibition_or_public_event	https://arusha.go.tz/api/news?page=1&limit=50
Arusha Regional Secretariat	arusha.go.tz	news	7529	2026-08-04	DC KARANGA AWATAKAA WAKULIMA KUNUFAIKA NA SOKO LA UTALII ARUSHA	exhibition_or_public_event	https://arusha.go.tz/api/news?page=1&limit=50
Arusha Regional Secretariat	arusha.go.tz	news	7461	2026-08-04	WAKULIMA NA WAFUGAJI WAKIRI KUPATA ELIMU YA UFUGAJI NA KILIMO BORA MAONESHO YA NANENANE KANDA YA KASKAZINI	parents_or_education, exhibition_or_public_event	https://arusha.go.tz/api/news?page=1&limit=50
Arusha City Council	arushacc.go.tz	news	7579	2026-08-04	MKURUGENZI WA JIJI LA ARUSHA ATEMBELEA MABANDA YA NANE NANE	exhibition_or_public_event	https://arushacc.go.tz/api/news?page=1&limit=50
Moshi District Council	moshidc.go.tz	news	7777	2026-08-04	MAADHIMISHO YA WIKI YA UNYONYESHAJI 2026	parents_or_education, exhibition_or_public_event	https://moshidc.go.tz/api/news?page=1&limit=50
Arusha Regional Secretariat	arusha.go.tz	news	7437	2026-08-03	RC KILIMANJARO: MAONYESHO YA NANE NANE KANDA KASKAZINI YAMELETA TIJA KWA WAKULIMA NA WAFUGAJI	exhibition_or_public_event	https://arusha.go.tz/api/news?page=1&limit=50
Arusha Regional Secretariat	arusha.go.tz	news	7390	2026-08-02	NAIBU WAZIRI SILINDE AHIMIZA ULINZI WA AMANI KWA MAENDELEO YA KIUCHUMI NA UKUAJI WA SEKTA YA UTALII ARUSHA	parents_or_education, exhibition_or_public_event	https://arusha.go.tz/api/news?page=1&limit=50
Arusha Regional Secretariat	arusha.go.tz	news	7389	2026-08-02	WAKULIMA KANDA YA KASKAZINI WATAKIWA KUJIANDAA NA FURSA ZA UJIO WA IPU NA AFCON 2027	exhibition_or_public_event	https://arusha.go.tz/api/news?page=1&limit=50
Arusha Regional Secretariat	arusha.go.tz	news	7388	2026-08-02	WAKULIMA NA WAFUGAJI WAHIMIZWA KUTAMBUA SOKO NA KUONGEZA TIJA YA MAZAO	exhibition_or_public_event	https://arusha.go.tz/api/news?page=1&limit=50
Arusha Regional Secretariat	arusha.go.tz	news	7387	2026-08-01	DC MKUDE AWAHAKIKISHIA USALAMA WASHIRIKI WA NANENANE KANDA YA KASKAZINI	exhibition_or_public_event	https://arusha.go.tz/api/news?page=1&limit=50
Arusha Regional Secretariat	arusha.go.tz	news	7386	2026-08-01	RAS ARUSHA: TAMBUA MAHITAJI YA SOKO KUTEKELEZA DIRA 2050	exhibition_or_public_event	https://arusha.go.tz/api/news?page=1&limit=50
Arusha Regional Secretariat	arusha.go.tz	news	7385	2026-08-01	WAONESHAJI ZAIDI YA 500 KUSHIRIKI MAONESHO YA 32 KANDA YA KASKAZINI	exhibition_or_public_event	https://arusha.go.tz/api/news?page=1&limit=50
Arusha Regional Secretariat	arusha.go.tz	announcements	786	2026-08-01	NAIBU WAZIRI WA KILIMO MGENI RASMI MAONESHO YA 32 YA KILIMO NANENANE KANDA YA KASKAZINI	exhibition_or_public_event	https://arusha.go.tz/api/announcements?page=1&limit=50
Monduli District Council	mondulidc.go.tz	news	7410	2026-08-01	WAONESHAJI ZAIDI YA 500 KUSHIRIKI MAONESHO YA 32 YA NANENANE KANDA YA KASKAZINI	exhibition_or_public_event	https://mondulidc.go.tz/api/news?page=1&limit=50
Arusha Regional Secretariat	arusha.go.tz	news	7384	2026-07-31	MAZAO FUNIKA YAIBULIWA KAMA SULUHISHO LA KUREJESHA RUTUBA YA UDONGO KWA WAKULIMA	parents_or_education, exhibition_or_public_event	https://arusha.go.tz/api/news?page=1&limit=50
Arusha Regional Secretariat	arusha.go.tz	news	7383	2026-07-31	TEKNOLOJIA ZA KISASA ZA UFUGAJI KUONESHWA KWENYE MAONESHO YA NANENANE KANDA YA KASKAZINI 2026	parents_or_education, exhibition_or_public_event	https://arusha.go.tz/api/news?page=1&limit=50
