source	source_id	name	category	detail	tags	osm_district	lat	lon	campus	distance_km	linked_office	note
openstreetmap	node/10827624377	Ofisi Ya Kata Nduruma	convener	ward	"{""government"": ""village_office"", ""office"": ""government""}"	Arusha	-3.4806143	36.7927055	Kijenge	14.2	GOFF_ward_arusha-district-council_nduruma	
openstreetmap	node/10827640700	Mahakama Ya Mwanzo Nduruma	excluded	court	"{""office"": ""government""}"	Arusha	-3.4803226	36.7928467	Kijenge	14.1		
openstreetmap	node/10828851090	Office ya Kijiji Maji ya Chai	convener	village	"{""office"": ""government""}"	Meru	-3.3656059	36.9092982	Usa River	5.1	GOFF_village_node-10828851090	
openstreetmap	node/10862247616	Mwanama Village Office	convener	village	"{""government"": ""register_office"", ""office"": ""government""}"	Arusha Municipal	-3.3874239	36.7096171	Kijenge	0.4	GOFF_village_node-10862247616	
openstreetmap	node/282575937	Njake Oil	not_government	mistagged	"{""amenity"": ""fuel"", ""government"": ""administrative"", ""office"": ""government""}"	Meru	-3.3701785	36.8507449	Usa River	1.5		
openstreetmap	node/3175392089	Immigration office	agency	agency_or_parastatal	"{""office"": ""government""}"	Arusha Municipal	-3.3690427	36.6942704	Kijenge	2.4		
openstreetmap	node/3271072175	Machame Ward Office	excluded	religious	"{""amenity"": ""place_of_worship""}"	Hai	-3.2138545	37.2226229	Boma Ngombe	16.3		
openstreetmap	node/4769408628	Ministry of Energy and Minerals	unclassified		"{""office"": ""government""}"	Moshi Urban	-3.3399033	37.3448069	Boma Ngombe	22.9		
openstreetmap	node/4897567723	Administration	unclassified		"{""government"": ""administrative"", ""office"": ""government""}"	Meru	-3.3997288	36.7966224	Usa River	8.4		
openstreetmap	node/5160468421	Tanesco Regional office - parking places	agency	agency_or_parastatal	"{""office"": ""government""}"	Arusha Municipal	-3.3738617	36.6931817	Kijenge	2.2		
openstreetmap	node/5285780321	Ngorongoro Information Center	agency	agency_or_parastatal	"{""office"": ""government""}"	Arusha Municipal	-3.3717195	36.6947233	Kijenge	2.2		
openstreetmap	node/5974714684	Ngorongoro Conservation Area Authority NCAA	agency	agency_or_parastatal	"{""government"": ""administrative"", ""office"": ""government""}"	Arusha Municipal	-3.3700676	36.694073	Kijenge	2.3		
openstreetmap	node/6243876485	Temesa	agency	agency_or_parastatal	"{""office"": ""government""}"	Arusha Municipal	-3.3726621	36.6829095	Ilboru	3.1		
openstreetmap	node/6243876486	AUWASA	agency	agency_or_parastatal	"{""government"": ""public_service"", ""office"": ""government"", ""operator"": ""AUWASA""}"	Arusha Municipal	-3.3721372	36.6828308	Ilboru	3.0		
openstreetmap	node/6243886389	National Housing Association	agency	agency_or_parastatal	"{""office"": ""government""}"	Arusha Municipal	-3.3717812	36.6874386	Kijenge	2.8		
openstreetmap	node/6243895190	National Housing Association	agency	agency_or_parastatal	"{""office"": ""government""}"	Arusha Municipal	-3.3738565	36.6898178	Kijenge	2.5		
openstreetmap	node/6541175485	TANESCO - Kilimanjaro, region office	agency	agency_or_parastatal	"{""office"": ""government""}"	Moshi Urban	-3.3469344	37.3421622	Boma Ngombe	22.7		
openstreetmap	node/6836677785	Tanzanian Wildlife Management Authority	agency	agency_or_parastatal	"{""office"": ""government""}"	Arusha Municipal	-3.3783386	36.6902455	Kijenge	2.3		
openstreetmap	node/708685985	Town Council	convener	council	"{""amenity"": ""townhall""}"	Moshi Urban	-3.3496926	37.3380908	Boma Ngombe	22.2		
