record_key	name	office_level	council_name	region	admin_unit_name	parent_admin_unit	proposed_government_track	track_reason	ward_score	ward_tier	campus	distance_km	transport_band	lat	lon	geocode_precision	location_source	osm_id	master_organisation_id	verification_status	missing_information
GOFF_region_arusha	Sekretarieti ya Mkoa wa Arusha (Arusha Regional Secretariat)	region		Arusha	Arusha	Tanzania Mainland	GA00 Hold	Regional offices are not a v1 target (plan §1); keep for protocol and B2G coordination.			Kijenge	2.3	0-5 km	-3.3696827	36.6951675	address	openstreetmap office	way/65262766		verified	
GOFF_region_kilimanjaro	Sekretarieti ya Mkoa wa Kilimanjaro (Kilimanjaro Regional Secretariat)	region		Kilimanjaro	Kilimanjaro	Tanzania Mainland	GA00 Hold	Regional offices are not a v1 target (plan §1); keep for protocol and B2G coordination.			Boma Ngombe	22.2	21-25 km	-3.350089	37.33733	address	official website map			verified	
GOFF_region_manyara	Sekretarieti ya Mkoa wa Manyara (Manyara Regional Secretariat)	region		Manyara	Manyara	Tanzania Mainland	GA00 Hold	Regional offices are not a v1 target (plan §1); keep for protocol and B2G coordination.			Arusha City	141.8	>25 km (outside catchment)	-4.213911	35.718164	address	official website map			verified	Not found: published phone; published email.
GOFF_district_arumeru	Ofisi ya Mkuu wa Wilaya ya Arumeru (Arumeru District Commissioner's Office)	district		Arusha	Arumeru	Arusha	GA00 Hold	District public meetings are not a v1 target (plan §1). Holder and office route are not published online.												needs_review	Office address, phone and the current District Commissioner (not on the regional site; its district pages are empty).
GOFF_district_arusha	Ofisi ya Mkuu wa Wilaya ya Arusha (Arusha District Commissioner's Office)	district		Arusha	Arusha	Arusha	GA00 Hold	District public meetings are not a v1 target (plan §1). Holder and office route are not published online.			Kijenge	2.4	0-5 km	-3.3694553	36.6938881	address	openstreetmap office	way/281486939	Oe7bb73cd7c38	needs_review	Office address, phone and the current District Commissioner (not on the regional site; its district pages are empty).
GOFF_district_monduli	Ofisi ya Mkuu wa Wilaya ya Monduli (Monduli District Commissioner's Office)	district		Arusha	Monduli	Arusha	GA00 Hold	District public meetings are not a v1 target (plan §1). Holder and office route are not published online.												needs_review	Office address, phone and the current District Commissioner (not on the regional site; its district pages are empty).
GOFF_district_hai	Ofisi ya Mkuu wa Wilaya ya Hai (Hai District Commissioner's Office)	district		Kilimanjaro	Hai	Kilimanjaro	GA00 Hold	District public meetings are not a v1 target (plan §1). Holder and office route are not published online.												needs_review	Office address, phone and the current District Commissioner (not on the regional site; its district pages are empty).
GOFF_district_moshi	Ofisi ya Mkuu wa Wilaya ya Moshi (Moshi District Commissioner's Office)	district		Kilimanjaro	Moshi	Kilimanjaro	GA00 Hold	District public meetings are not a v1 target (plan §1). Holder and office route are not published online.												needs_review	Office address, phone and the current District Commissioner (not on the regional site; its district pages are empty).
GOFF_district_siha	Ofisi ya Mkuu wa Wilaya ya Siha (Siha District Commissioner's Office)	district		Kilimanjaro	Siha	Kilimanjaro	GA00 Hold	District public meetings are not a v1 target (plan §1). Holder and office route are not published online.												needs_review	Office address, phone and the current District Commissioner (not on the regional site; its district pages are empty).
GOFF_district_simanjiro	Ofisi ya Mkuu wa Wilaya ya Simanjiro (Simanjiro District Commissioner's Office)	district		Manyara	Simanjiro	Manyara	GA00 Hold	District public meetings are not a v1 target (plan §1). Holder and office route are not published online.												needs_review	Office address, phone and the current District Commissioner (not on the regional site; its district pages are empty).
