record_key	office_key	organisation_name	post_key	office_title	office_title_sw	appointment_type	holder_name	holder_verified_on	tenure_source_url	role_phone	published_role_email	b2g_check_required	pdpa_risk	verification_status	source_url
GPOST_region-arusha_regional_commissioner	GOFF_region_arusha	Sekretarieti ya Mkoa wa Arusha (Arusha Regional Secretariat)	regional_commissioner	Regional Commissioner	Mkuu wa Mkoa	political_appointee	Mhe. CPA AMOS GABRIEL MAKALLA	2026-09-23	https://arusha.go.tz/api/profiles			no	medium	verified	https://arusha.go.tz/api/profiles
GPOST_region-arusha_regional_administrative_secretary	GOFF_region_arusha	Sekretarieti ya Mkoa wa Arusha (Arusha Regional Secretariat)	regional_administrative_secretary	Regional Administrative Secretary	Katibu Tawala wa Mkoa	civil_service	Dkt Toba Alnason Nguvila	2026-09-23	https://arusha.go.tz/api/profiles			no	medium	verified	https://arusha.go.tz/api/profiles
GPOST_region-arusha_regional_community_development	GOFF_region_arusha	Sekretarieti ya Mkoa wa Arusha (Arusha Regional Secretariat)	regional_community_development	Community Development Unit, Regional Secretariat	Kitengo cha Maendeleo ya Jamii, Sekretarieti ya Mkoa	civil_service						no	low	needs_review	https://arusha.go.tz/api/pages/slug/community-development-unit
GPOST_region-arusha_regional_education	GOFF_region_arusha	Sekretarieti ya Mkoa wa Arusha (Arusha Regional Secretariat)	regional_education	Education and Vocational Training Section, Regional Secretariat	Sehemu ya Elimu, Sekretarieti ya Mkoa	civil_service						yes	low	needs_review	https://tanzlii.org/akn/tz/act/1982/7/eng@2002-07-31/source
GPOST_region-kilimanjaro_regional_commissioner	GOFF_region_kilimanjaro	Sekretarieti ya Mkoa wa Kilimanjaro (Kilimanjaro Regional Secretariat)	regional_commissioner	Regional Commissioner	Mkuu wa Mkoa	political_appointee	Mhe. Nurdin Hassan Babu	2026-09-23	https://kilimanjaro.go.tz/api/profiles			no	medium	verified	https://kilimanjaro.go.tz/api/profiles
GPOST_region-kilimanjaro_regional_administrative_secretary	GOFF_region_kilimanjaro	Sekretarieti ya Mkoa wa Kilimanjaro (Kilimanjaro Regional Secretariat)	regional_administrative_secretary	Regional Administrative Secretary	Katibu Tawala wa Mkoa	civil_service	Ndg. Kiseo Yusuf Nzowa	2026-09-23	https://kilimanjaro.go.tz/api/profiles			no	medium	verified	https://kilimanjaro.go.tz/api/profiles
GPOST_region-kilimanjaro_regional_community_development	GOFF_region_kilimanjaro	Sekretarieti ya Mkoa wa Kilimanjaro (Kilimanjaro Regional Secretariat)	regional_community_development	Community Development Unit, Regional Secretariat	Kitengo cha Maendeleo ya Jamii, Sekretarieti ya Mkoa	civil_service						no	low	needs_review	https://kilimanjaro.go.tz/api/pages/slug/community-development-unit
GPOST_region-kilimanjaro_regional_education	GOFF_region_kilimanjaro	Sekretarieti ya Mkoa wa Kilimanjaro (Kilimanjaro Regional Secretariat)	regional_education	Education and Vocational Training Section, Regional Secretariat	Sehemu ya Elimu, Sekretarieti ya Mkoa	civil_service						yes	low	needs_review	https://tanzlii.org/akn/tz/act/1982/7/eng@2002-07-31/source
GPOST_region-manyara_regional_commissioner	GOFF_region_manyara	Sekretarieti ya Mkoa wa Manyara (Manyara Regional Secretariat)	regional_commissioner	Regional Commissioner	Mkuu wa Mkoa	political_appointee	Mhe. Queen Cuthbert Sendiga	2026-09-23	https://manyara.go.tz/api/profiles			no	medium	verified	https://manyara.go.tz/api/profiles
GPOST_region-manyara_regional_administrative_secretary	GOFF_region_manyara	Sekretarieti ya Mkoa wa Manyara (Manyara Regional Secretariat)	regional_administrative_secretary	Regional Administrative Secretary	Katibu Tawala wa Mkoa	civil_service	Bi. Maryam Ahmed Muhaji	2026-09-23	https://manyara.go.tz/api/profiles			no	medium	verified	https://manyara.go.tz/api/profiles
GPOST_region-manyara_regional_community_development	GOFF_region_manyara	Sekretarieti ya Mkoa wa Manyara (Manyara Regional Secretariat)	regional_community_development	Community Development Unit, Regional Secretariat	Kitengo cha Maendeleo ya Jamii, Sekretarieti ya Mkoa	civil_service						no	low	needs_review	https://manyara.go.tz/api/pages/slug/community-development-unit
GPOST_region-manyara_regional_education	GOFF_region_manyara	Sekretarieti ya Mkoa wa Manyara (Manyara Regional Secretariat)	regional_education	Education and Vocational Training Section, Regional Secretariat	Sehemu ya Elimu, Sekretarieti ya Mkoa	civil_service						yes	low	needs_review	https://manyara.go.tz/api/pages/slug/education-and-vocational-training
GPOST_district-arumeru_district_commissioner	GOFF_district_arumeru	Ofisi ya Mkuu wa Wilaya ya Arumeru (Arumeru District Commissioner's Office)	district_commissioner	District Commissioner	Mkuu wa Wilaya	political_appointee						no	low	needs_review	https://tanzlii.org/akn/tz/act/1982/7/eng@2002-07-31/source
GPOST_district-arumeru_district_administrative_secretary	GOFF_district_arumeru	Ofisi ya Mkuu wa Wilaya ya Arumeru (Arumeru District Commissioner's Office)	district_administrative_secretary	District Administrative Secretary	Katibu Tawala wa Wilaya	civil_service						no	low	needs_review	https://tanzlii.org/akn/tz/act/1982/7/eng@2002-07-31/source
GPOST_district-arusha_district_commissioner	GOFF_district_arusha	Ofisi ya Mkuu wa Wilaya ya Arusha (Arusha District Commissioner's Office)	district_commissioner	District Commissioner	Mkuu wa Wilaya	political_appointee						no	low	needs_review	https://tanzlii.org/akn/tz/act/1982/7/eng@2002-07-31/source
GPOST_district-arusha_district_administrative_secretary	GOFF_district_arusha	Ofisi ya Mkuu wa Wilaya ya Arusha (Arusha District Commissioner's Office)	district_administrative_secretary	District Administrative Secretary	Katibu Tawala wa Wilaya	civil_service						no	low	needs_review	https://tanzlii.org/akn/tz/act/1982/7/eng@2002-07-31/source
GPOST_district-monduli_district_commissioner	GOFF_district_monduli	Ofisi ya Mkuu wa Wilaya ya Monduli (Monduli District Commissioner's Office)	district_commissioner	District Commissioner	Mkuu wa Wilaya	political_appointee						no	low	needs_review	https://tanzlii.org/akn/tz/act/1982/7/eng@2002-07-31/source
GPOST_district-monduli_district_administrative_secretary	GOFF_district_monduli	Ofisi ya Mkuu wa Wilaya ya Monduli (Monduli District Commissioner's Office)	district_administrative_secretary	District Administrative Secretary	Katibu Tawala wa Wilaya	civil_service						no	low	needs_review	https://tanzlii.org/akn/tz/act/1982/7/eng@2002-07-31/source
GPOST_district-hai_district_commissioner	GOFF_district_hai	Ofisi ya Mkuu wa Wilaya ya Hai (Hai District Commissioner's Office)	district_commissioner	District Commissioner	Mkuu wa Wilaya	political_appointee						no	low	needs_review	https://tanzlii.org/akn/tz/act/1982/7/eng@2002-07-31/source
GPOST_district-hai_district_administrative_secretary	GOFF_district_hai	Ofisi ya Mkuu wa Wilaya ya Hai (Hai District Commissioner's Office)	district_administrative_secretary	District Administrative Secretary	Katibu Tawala wa Wilaya	civil_service						no	low	needs_review	https://tanzlii.org/akn/tz/act/1982/7/eng@2002-07-31/source
GPOST_district-moshi_district_commissioner	GOFF_district_moshi	Ofisi ya Mkuu wa Wilaya ya Moshi (Moshi District Commissioner's Office)	district_commissioner	District Commissioner	Mkuu wa Wilaya	political_appointee						no	low	needs_review	https://tanzlii.org/akn/tz/act/1982/7/eng@2002-07-31/source
GPOST_district-moshi_district_administrative_secretary	GOFF_district_moshi	Ofisi ya Mkuu wa Wilaya ya Moshi (Moshi District Commissioner's Office)	district_administrative_secretary	District Administrative Secretary	Katibu Tawala wa Wilaya	civil_service						no	low	needs_review	https://tanzlii.org/akn/tz/act/1982/7/eng@2002-07-31/source
GPOST_district-siha_district_commissioner	GOFF_district_siha	Ofisi ya Mkuu wa Wilaya ya Siha (Siha District Commissioner's Office)	district_commissioner	District Commissioner	Mkuu wa Wilaya	political_appointee						no	low	needs_review	https://tanzlii.org/akn/tz/act/1982/7/eng@2002-07-31/source
GPOST_district-siha_district_administrative_secretary	GOFF_district_siha	Ofisi ya Mkuu wa Wilaya ya Siha (Siha District Commissioner's Office)	district_administrative_secretary	District Administrative Secretary	Katibu Tawala wa Wilaya	civil_service						no	low	needs_review	https://tanzlii.org/akn/tz/act/1982/7/eng@2002-07-31/source
GPOST_district-simanjiro_district_commissioner	GOFF_district_simanjiro	Ofisi ya Mkuu wa Wilaya ya Simanjiro (Simanjiro District Commissioner's Office)	district_commissioner	District Commissioner	Mkuu wa Wilaya	political_appointee						no	low	needs_review	https://tanzlii.org/akn/tz/act/1982/7/eng@2002-07-31/source
GPOST_district-simanjiro_district_administrative_secretary	GOFF_district_simanjiro	Ofisi ya Mkuu wa Wilaya ya Simanjiro (Simanjiro District Commissioner's Office)	district_administrative_secretary	District Administrative Secretary	Katibu Tawala wa Wilaya	civil_service						no	low	needs_review	https://tanzlii.org/akn/tz/act/1982/7/eng@2002-07-31/source
GPOST_council-arusha-city-council_council_director	GOFF_council_arusha-city-council	Halmashauri ya Jiji la Arusha (Arusha City Council)	council_director	Council Director	Mkurugenzi wa Halmashauri	civil_service	Ndg.John L Kayombo	2026-09-23	https://arushacc.go.tz/api/profiles		cd@arushacc.go.tz	no	medium	verified	https://arushacc.go.tz/api/profiles
GPOST_council-arusha-city-council_council_chair	GOFF_council_arusha-city-council	Halmashauri ya Jiji la Arusha (Arusha City Council)	council_chair	Council Chairperson or Mayor	Mwenyekiti wa Halmashauri / Meya	elected	Hon.Maxmillian Iranqe	2026-09-23	https://arushacc.go.tz/api/profiles			no	medium	verified	https://arushacc.go.tz/api/profiles
GPOST_council-arusha-city-council_community_development_head	GOFF_council_arusha-city-council	Halmashauri ya Jiji la Arusha (Arusha City Council)	community_development_head	Head of Community Development Division	Mkuu wa Divisheni ya Maendeleo ya Jamii	civil_service						no	low	needs_review	https://arushacc.go.tz/api/pages/slug/community-development-divison
GPOST_council-arusha-city-council_social_welfare_officer	GOFF_council_arusha-city-council	Halmashauri ya Jiji la Arusha (Arusha City Council)	social_welfare_officer	Council Social Welfare Officer	Afisa Ustawi wa Jamii wa Halmashauri	civil_service						no	low	needs_review	https://arushacc.go.tz/api/pages/slug/health-social-welfare-and-nutrition
GPOST_council-arusha-city-council_primary_education_head	GOFF_council_arusha-city-council	Halmashauri ya Jiji la Arusha (Arusha City Council)	primary_education_head	Head of Pre-Primary and Primary Education Division	Mkuu wa Divisheni ya Elimu ya Awali na Msingi	civil_service						yes	low	needs_review	https://arushacc.go.tz/api/pages/slug/pre-primary-and-primary-education
GPOST_council-arusha-district-council_council_director	GOFF_council_arusha-district-council	Halmashauri ya Wilaya ya Arusha (Arusha District Council)	council_director	Council Director	Mkurugenzi wa Halmashauri	civil_service	Ndg. Seleman Msumi	2026-09-23	https://arushadc.go.tz/api/profiles		ded@arushadc.go.tz	no	medium	verified	https://arushadc.go.tz/api/profiles
GPOST_council-arusha-district-council_council_chair	GOFF_council_arusha-district-council	Halmashauri ya Wilaya ya Arusha (Arusha District Council)	council_chair	Council Chairperson or Mayor	Mwenyekiti wa Halmashauri / Meya	elected	Mh. Baraka Mesiaki	2026-09-23	https://arushadc.go.tz/api/profiles			no	medium	verified	https://arushadc.go.tz/api/profiles
GPOST_council-arusha-district-council_community_development_head	GOFF_council_arusha-district-council	Halmashauri ya Wilaya ya Arusha (Arusha District Council)	community_development_head	Head of Community Development Division	Mkuu wa Divisheni ya Maendeleo ya Jamii	civil_service						no	low	needs_review	https://arushadc.go.tz/api/pages/slug/community-development
GPOST_council-arusha-district-council_social_welfare_officer	GOFF_council_arusha-district-council	Halmashauri ya Wilaya ya Arusha (Arusha District Council)	social_welfare_officer	Council Social Welfare Officer	Afisa Ustawi wa Jamii wa Halmashauri	civil_service						no	low	needs_review	https://arushadc.go.tz/api/pages/slug/health-social-welfare-and-nutrition-services
GPOST_council-arusha-district-council_primary_education_head	GOFF_council_arusha-district-council	Halmashauri ya Wilaya ya Arusha (Arusha District Council)	primary_education_head	Head of Pre-Primary and Primary Education Division	Mkuu wa Divisheni ya Elimu ya Awali na Msingi	civil_service						yes	low	needs_review	https://arushadc.go.tz/api/pages/slug/pre-and-primary-education
GPOST_council-meru-district-council_council_director	GOFF_council_meru-district-council	Halmashauri ya Wilaya ya Meru (Meru District Council)	council_director	Council Director	Mkurugenzi wa Halmashauri	civil_service	Mwl. Zainabu Juma Makwinya	2026-09-23	https://merudc.go.tz/api/profiles		ded@merudc.go.tz	no	medium	verified	https://merudc.go.tz/api/profiles
GPOST_council-meru-district-council_council_chair	GOFF_council_meru-district-council	Halmashauri ya Wilaya ya Meru (Meru District Council)	council_chair	Council Chairperson or Mayor	Mwenyekiti wa Halmashauri / Meya	elected	Mh. Lucas Kaaya	2026-09-23	https://merudc.go.tz/api/profiles			no	medium	verified	https://merudc.go.tz/api/profiles
GPOST_council-meru-district-council_community_development_head	GOFF_council_meru-district-council	Halmashauri ya Wilaya ya Meru (Meru District Council)	community_development_head	Head of Community Development Division	Mkuu wa Divisheni ya Maendeleo ya Jamii	civil_service						no	low	needs_review	https://merudc.go.tz/api/pages/slug/department-of-community-development
GPOST_council-meru-district-council_social_welfare_officer	GOFF_council_meru-district-council	Halmashauri ya Wilaya ya Meru (Meru District Council)	social_welfare_officer	Council Social Welfare Officer	Afisa Ustawi wa Jamii wa Halmashauri	civil_service						no	low	needs_review	https://tanzlii.org/akn/tz/act/1982/7/eng@2002-07-31/source
GPOST_council-meru-district-council_primary_education_head	GOFF_council_meru-district-council	Halmashauri ya Wilaya ya Meru (Meru District Council)	primary_education_head	Head of Pre-Primary and Primary Education Division	Mkuu wa Divisheni ya Elimu ya Awali na Msingi	civil_service						yes	low	needs_review	https://merudc.go.tz/api/pages/slug/pre-primary-and-primary-education
