name	kind	campus	km	band	phone	email	web
Exim bank	amenity:bank	Usa River	0.1	0-5 km			
Ilboru Safari Lodge	tourism:hotel	Ilboru	0.1	0-5 km			
Usa RC Health Centre	amenity:hospital	Usa River	0.1	0-5 km			
Wild Mind Travel Company	office:company	Arusha City (Sakina)	0.3	0-5 km			
Citylink Hotel	tourism:hotel	Kijenge	0.4	0-5 km			
Saruni River Lodge	tourism:hotel	Kijenge	0.4	0-5 km			
Makeseni Lodge	tourism:hotel	Usa River	0.5	0-5 km			
Tanzanite City Park Lodge	tourism:hotel	Kijenge	0.6	0-5 km			
Gran Melia Arusha	tourism:hotel	Kijenge	0.6	0-5 km			
AAR Clinic	amenity:hospital	Kijenge	0.6	0-5 km	+255 739 900 910		http://www.aarhealth.com/aar_tz/
Mt. Meru Game Lodge	tourism:hotel	Usa River	0.7	0-5 km			
Mango Bed & Breakfast	tourism:hotel	Boma Ngombe	0.7	0-5 km			
Maji Water & Irrigation Authority	office:government	Boma Ngombe	0.7	0-5 km			https://www.maji.go.tz
CRDB Bank	amenity:bank	Boma Ngombe	0.7	0-5 km			
Njake Oil	office:government	Usa River	0.8	0-5 km			
NMB Bank	amenity:bank	Boma Ngombe	0.8	0-5 km			https://www.nmbbank.co.tz
Rivertrees Country Inn	tourism:hotel	Usa River	0.8	0-5 km	+255 20743600160	info@rivertrees.com	https://rivertrees.com/
Club Afriko	tourism:hotel	Kijenge	0.9	0-5 km			
SNV (Netherlands Development Organisation)	office:ngo	Kijenge	0.9	0-5 km			www.snvworld.org
Mzunguu's hotel, bar & restaurant	tourism:hotel	Usa River	1	0-5 km			
Moon Shine Hotel	tourism:hotel	Ilboru	1	0-5 km			
La Bella Luna Hotel	tourism:hotel	Kijenge	1	0-5 km			
L'Oasis	tourism:hotel	Kijenge	1.1	0-5 km			
Karama Lodge & Spa	tourism:hotel	Kijenge	1.1	0-5 km	+255 754 475 188	reservationkaramalodge@gmail.com	www.karama-lodge.com
