name	segment	campus	km	size_evidence	headcount	contact_name	contact_role	email	phone	address	education_angle	source_url	status
Mount Meru Regional Referral Hospital	Hospital	Kijenge	2.0	a dedicated team of over 650 staff (Hospital Director interview, 2025)	650	Dr Alex Ernest	Medical Officer In Charge / Hospital Director			East African Street, ~280 m off the Arusha-Moshi road, Arusha	Runs community medical education and mentorship outreach	https://www.healthcare-outlook.com/hospital-medical-center/mount-meru-regional-referral-hospital-a-legacy-of-care	OK
LEOPARD TOURS LTD	Safari operator	Kijenge	1.2	"Staffing page describes scheduling ""a fleet of 225 busy vehicles""; departments for transport, marketing, IT, operations, workshop, driver guides, camping, QC; workshops in Arusha and Dar; founded 1985"		Sameer Mohamed	Director of Operations	leopardtours@leopardtours.co.tz	+255 27 297 8441	Nelson Mandela Road Plot 17, Kijenge, P.O. Box 1638, Arusha	Leopard Foundation (est. 2015) has an Education & Awareness arm - supports schools, learning materials, donates desks to primary schools	https://www.leopard-tours.com/staffing/	OK
University of Arusha	University	Usa River	5.6	"About page counters: ""150 ACTIVE STAFF"", 540 students"	150	Prof. Patrick Manu	Vice Chancellor	admission@uoa.ac.tz	+255 27 254 0003	P.O. Box 7, Usa River, Arusha		https://uoa.ac.tz/about-us/	OK
Nelson Mandela African Institution of Science and Technology	University	Usa River	7.5	71 academic + 48 administrative staff (Wikipedia infobox; not stated on official site)	119	Prof. Maulilio John Kipanyula	Vice Chancellor	vc@nm-aist.ac.tz	+255 27 297 0007	404 Nganana, 23311 Kikwe, Arumeru, P.O. Box 447, Arusha	Administers SAMIA and PASET RSIF scholarships; runs short courses for external professionals	https://en.wikipedia.org/wiki/Nelson_Mandela_African_Institution_of_Science_and_Technology	OK
Africa Dream Safaris	Safari operator	Ilboru	2.3	"About page: ""we now engage over 100 individuals, most local Tanzanians, including over twenty of the finest driver-guides"""	100	Michael Wishner	Co-Founder		+255 752 225 554	P.O. Box 2189, Arusha	Supports School of St Jude, Peace House Orphanage, POLI Village School and FAME	https://africadreamsafaris.com/about-us/	OK
Serengeti Balloon Safaris	Safari operator	Ilboru	2.3	"Responsibility page: ""We employ over 70 of our staff from communities adjacent to the Parks""; 2026 Trailblazers programme trained 28"	70	Pascal (surname not published)		pascal@balloonsafaris.co.tz	+255 755 721 521	P.O. Box 12116, Arusha	Built and equipped a classroom at Robanda Technical School, a headmaster's house and a girls' lavatory block at Robanda Primary/Secondary; supports Focus on Tanzanian Communities	https://www.balloonsafaris.com/responsibility	OK
Selian Lutheran Hospital	Hospital	Arusha City (Sakina)	4.0	160 beds, ~2,000 patients/month, 80-120 inpatients daily (beds and volume, not staff)		Dr Amon Israel Marti	Hospital Director	selianlh@habari.co.tz	+255 755 930 952	Olorien, Ngaramtoni, Arusha District; P.O. Box 3164	Runs community outreach clinics across Arusha and Manyara; hospice and palliative care	https://elcthealth.tz/selian-hospital-2/	OK
Arusha Lutheran Medical Centre (ALMC)	Hospital	Ilboru	2.1	a 150 bedded modern private health facility (beds, not staff); runs a surgical residency and a nursing school		Dr Goodwill Kivuyo	Executive Director	info@almc.or.tz	+255 27 254 8030	Fr. Babu Road, Block 54, Levolosi, P.O. Box 17047, Arusha	Runs ALMC School of Nursing and a PAACS surgical residency; strong existing training culture	https://almc.or.tz/about.html	OK
Shadows of Africa Ltd	Safari operator	Arusha City (Sakina)	5.0	Team page lists 36 named people: 8 local office, 7 international office, 21 guides/drivers/instructors	36	Mihaela Fras	Reservation Manager	info@shadowsofafrica.com	+255 784 954 453	Mateves, Arusha		https://www.shadowsofafrica.com/team/	OK
Duma Explorer (Alika Africa)	Safari operator	Ilboru	2.3	Team page lists 23 named individuals (2 owners, office manager, 8 safari guides, chef, Kilimanjaro guides and porters, coordinator, trainee); photo shows multiple branded Land Cruisers	23	Omary Ridhiwan	Owner, Alika Africa - manages all Tanzania ground operations	info@dumaexplorer.com	+255 674 180 183			https://www.dumaexplorer.com/about-us	OK
