name	tier	score	campus	km	band	locality	email	website	phone	tato_cats	established	founded	size_check	notes
Dream Peak Safaris	A	77	Arusha City (Sakina)	0	0-5 km	sakina	info@dreampeaksafaris.com	dreampeaksafaris.com	+255 744 333 398	TO/DMC/TREK/MAIN				
Eco-Africa Climbing	A	77	Ilboru	2.3	0-5 km	arusha	info@eco-africaclimbing.com	eco-africaclimbing.com	+255 712 528 219 | +255 658 466 149	TO/DMC/TREK/MAIN				
Ecological Wilderness Adventure & Car Hire	A	77	Ilboru	2.3	0-5 km	boma road	info@ecologicaladventure.com	ecologicaladventure.com	+255 780 900003 | +255 694 950 644	TO/DMC/MAIN				
Enclose Africa Safaris	A	77	Ilboru	2.3	0-5 km	arusha	info@encloseafricasafaris.com	encloseafricasafaris.com	+255 765 772 906	TO/DMC/MAIN				
Everyday Safaris	A	77	Ilboru	2.3	0-5 km	boma road	info@everydaysafaris.com	www.everydaysafaris.com	+255 766 691 900 | +255 754 288 808	TO/DMC/MAIN				
EXPERIENCE SAFARIS	A	77	Ilboru	1.6	0-5 km	mianzini	info@experiencesafaris.com	www.experiencesafaris.com	+255 619 514 306	TO/DMC/TREK/MAIN				
Explora V Tanzania	A	77	Ilboru	2.3	0-5 km	arusha	info@exploravtanzania.com	exploravtanzania.com	+255 746 289 442	TO/DMC/TREK/MAIN				
Fairtrek Jicho Tanzania	A	77	Arusha City (Sakina)	4.9	0-5 km	kiranyi	info@fairtrek-jicho-tanzania.com	www.fairtrek-jicho-tanzania.com	+255 766 222 722 | +255 788 222 622	TO/DMC/TREK/MAIN				
Gifted African Adventures	A	77	Arusha City (Sakina)	0	0-5 km	sakina	info@giftedadventures.com	giftedadventures.com	+255 753 900 422 | +255 626 752 952	TO/DMC/TREK/MAIN				
Golden Trips Tanzania	A	77	Ilboru	1.6	0-5 km	mianzini	info@goldentrips.co.tz	goldentripstanzania.com	+255 689 940 937 | +255 627 249 926	TO/DMC/TREK/MAIN				
Goldfinch Adventures	A	77	Ilboru	2.3	0-5 km	arusha	info@goldfinch-adventures.com	www.goldfinch-adventures.com	+255 673 337 026	TO/DMC/TREK/MAIN				
Golos of Africa	A	77	Ilboru	2.3	0-5 km	arusha	info@golosafrica.com	Golos.africa	+255 718 551 725 | +7 951 461-99-92	TO/DMC/TREK/MAIN				
Good Earth Safaris & Tours Ltd	A	77	Kijenge	5.5	6-10 km	moshono	info@goodearthtours.co.tz	www.goodearthtours.com	+255 754294344	TO/MAIN				
Habitat Adventures Travel	A	77	Ilboru	2.3	0-5 km	arusha	info@thehabitatadventures.com	www.thehabitatadventures.com	+255 787 344 441	TO/DMC/TREK/MAIN				
HADZABE SAFARI ADVENTURE	A	77	Ilboru	2.3	0-5 km	arusha city	info@hadzabesafaris.com	hadzabesafaris.com	+255 784 545 648	TO/DMC/TREK/MAIN				
Horn & Horizon Safaris	A	77	Ilboru	2.3	0-5 km	goliondoi	info@hornandhorizonsafaris.com	hornandhorizonsafaris.com	+255 766 261 648	TO/DMC/TREK/MAIN				
Joagro Safaris Tanzania	A	77	Ilboru	2.3	0-5 km	arusha	info@joagrosafaris.com	www.joagrosafaris.com	+255 765 348 719 | +255689157119	TO/DMC/TREK/MAIN				
Josh Dreamland Safaris	A	77	Arusha City (Sakina)	0	0-5 km	sakina	info@joshdreamlandsafari.com	joshdreamlandsafari.com	+255 (0) 750 152 246	TO/DMC/TREK/MAIN				
KANANGA (Rumangabo International Ltd)	A	77	Arusha City (Sakina)	5.8	6-10 km	olasiti	info@kananga.co.tz	www.kanangainternational.com	+255 753 979 478	TO/MAIN				
Kibuyu African Safaris	A	77	Ilboru	2.3	0-5 km	arusha	info@kibuyuafricansafaris.com	www.kibuyuafricansafaris.com	+255 762 511 545	TO/DMC/MAIN				
Kifaru Expeditions	A	77	Arusha City (Sakina)	2.7	0-5 km	unga ltd	safaris@kifaruexpeditions.tz	www.kifaruexpeditions.tz	+255 614 111 111	TO/DMC/TREK/MAIN				
Kiliclimb Africa Safaris	A	77	Ilboru	2.3	0-5 km	arusha	info@kiliclimbafricasafaris.com	kiliclimbafricasafaris.com	+255 768 735 700 | +255 767 442 295	TO/DMC/TREK/MAIN				
Kingse Safaris	A	77	Arusha City (Sakina)	3	0-5 km	sombetini	peter@kingsesafaris.com	kingsesafaris.com	+255 745 905 902 | +255 783 525 634	TO/DMC/TREK/MAIN				
Kiwoito Africa Safaris	A	77	Ilboru	2.3	0-5 km	arusha	info@kiwoitoafricasafaris.com	www.kiwoitoafricasafaris.com	+255787910028	TO/DMC/MAIN				
Kotia Photographic Safaris and Tours	A	77	Usa River	1.2	0-5 km	leganga	info@kotiasafaris.co.tz	www.kotiasafaris.co.tz	+255 767 463 608 | +255 693 722 520	TO/DMC/TREK/MAIN				
Lamai Africa Safaris	A	77	Arusha City (Sakina)	0	0-5 km	kwa idd	info@lamaisafaris.com	lamaisafaris.com	+255 768 506 258	TO/DMC/TREK/MAIN				
LAPWINGS	A	77	Ilboru	2.3	0-5 km	arusha	info@lapwings.co.tz	www.lapwings.co.tz	+255 786 621 111	TO/DMC/MAIN				
LAZY LION SAFARIS	A	77	Usa River	0	0-5 km	usariver	info@lazylionsafaris.com	lazylionsafaris.com	+255754012468	TO/DMC/TREK/MAIN				
LUBE JUNCTION	A	77	Ilboru	2.6	0-5 km	nyerere	tellusmore@lubejunction.com	www.lubejunction.com	+255 692654006 | +255684242028	DMC/AFF/AUTO				
Lusungulwamtwa Safaris	A	77	Ilboru	2.3	0-5 km	arusha	info@lusungulwatwasafaris.com	lusungulwamtwasafaris.com	+255 768 200 757	TO/DMC/TREK/MAIN				
MAGILANI SAFARIS	A	77	Ilboru	2.3	0-5 km	arusha	info@magilani-safaris.com	www.magilani-safaris.com	+255 742 964855 | +255 784 123 201	TO/DMC/MAIN				
Makini Tanzania	A	77	Kijenge	1.7	0-5 km	ngulelo	info@makinitanzaniasafaris.com	makinitanzaniasafaris.com	+255 752 168 213 | +255 696 468 213	TO/DMC/TREK/MAIN				
