name	tier	score	campus	km	locality	email	website	phone	tato_cats	established
Dashir Lodge & Safaris	B	64	Kijenge	7.6	arumeru	info@dashirlodgeandsafaris.com	www.dashirlodgeandsafaris.com	+255 788 837 288	DMC	
MAKASA TANZANIA SAFARIS LTD	B	64	Boma Ngombe	22.8	moshi	info@makasatanzania.com	www.makasatanzania.com	+255 767 699006	TO/MAIN	Y
RSA LIMITED	B	64	Boma Ngombe	22.8	moshi	rsa@rsaafrica.com	www.rsaafrica.com	+255 757 402 403 | +255 754 400 500	AFF/AUTO	
Wildfrontiers (Chelete Adventures LTD)	B	64	Arusha City (Sakina)	5.8	olasiti	wildfrontiers@habari.co.tz		+255 677 392 320	DMC	
LIFETIME SAFARIS	B	63	Ilboru	2.3	arusha	barakajohn.mollel@gmail.com	www.lifetimesafaristz.com	+255 27 254 6420 | +255 755 419246	MAIN	
MKIZUGHUNO COMPANY LIMITED	B	63	Ilboru	2.3	arusha	williammvungi12@gmail.com		+255 752 000 131 | 756 922 320	AFF	
Africa Dream Safaris	B	61	Ilboru	2.3	arusha		www.africadreamsafaris.com	+255 752 225 554	TO/MAIN	Y
African Environments Ltd	B	61			adventure@africanenvironments.com	www.africanenvironments.com	+255 027 25508625	TO/MAIN	Y	
Afroriginal Tours & Safaris Ltd	B	61	Ilboru	0	ilboru	info@afroriginaltours.com	www.afroriginaltours.com	0732 979251	DMC/MAIN	Y
Amazing Tanzania Ltd	B	61	Ilboru	2.3	arusha	info@amazingtanzania.com	amazingtanzania.com		TO/MAIN	
ANDBEYOND TRAVEL LTD	B	61	Ilboru	2.3	arusha	niall.anderson@andbeyond.com	www.andbeyond.com	+27 11 809 4300	TO/MAIN	
Ang'ata Camps	B	61	Ilboru	2.3	arusha		www.angatacamps.com	+255 (0) 786 0	TO/MAIN	
BUSHTOPS SAFARI CAMPS (ORION HOTELS TANZANIA LTD)	B	61	Ilboru	2.3	arusha	claudia.stuart@bushtops.com	www.bushtopscamps.com	+254722412612	TO/MAIN	
Easy Travel and Tours Ltd	B	61	Ilboru	2.3	arusha	info@easytravel.co.tz	www.easytravel.co.tz		TO/MAIN	
ET Investments Ltd	B	61	Ilboru	2.3	arusha	contact@tanzania-experience.com	www.tanzania-experience.com		TO/MAIN	
GOSHENI SAFARIS LIMITED	B	61	Ilboru	2.3	arusha	info@goshenisafaris.com	goshenisafaris.com		TO/MAIN	
Hoopoe Safaris (T) Ltd	B	61			information@hoopoe.com	www.hoopoe.com	+255 (27) 250-7011	TO/MAIN	Y	
Jaribu Africa Adventures Co Ltd	B	61			info@jaribuafrica.com	www.jaribuafrica.com	+255753909004	TO/MAIN	Y	
KILAWENI LTD	B	61	Ilboru	2.3	arusha	info@kilaweni.com	www.kilaweni.com	0786 019944	TO/MAIN	Y
Kudu Safaris ltd	B	61	Ilboru	2.3	arusha	info@KuduSafaris.co.tz	www.kudusafaris.co.tz	+255 736 500 453	TO/MAIN	Y
MAASAI MAGIC SAFARI COMPANY LTD	B	61	Ilboru	2.3	arusha	info@maasai-magic.com	www.maasai-magic.com	P.O. BOX 16051 Arusha	TO/MAIN	Y
