record_type	source_path	source_location	source_url	source_date	acquired_on	verified_on	verification_status	evidence_basis	evidence_excerpt	notes	organisation_name	organisation_domain	segment	subtype	priority	campus	distance_km	radius_tier	geocode_precision	latitude	longitude	locality	address	website	public_email	public_phone	size_evidence	headcount	education_angle	founded	licence_class	osm_id	desk_tier	desk_score	transport_band	contact_name	role	role_certainty	contact_route	shared_email	published_role_email	named_email	organisation_phone	role_phone	profile_url	channel_attribution	enquiry_author	enquiry_type	enquiry_date	date_qualification	request	platform	contact_attribution	current_relevance	campus_fit	enquiry_phone	enquiry_email	relevance_reason	proposed_offer	cta_type	hook	hook_source_url	hook_verified_on	acquisition_track_id	value_module_ids	review_status	missing_information	lead_track	record_key	welfare_fit	care_model	pdpa_risk	pdpa_risk_reason	proposed_welfare_track	track_reason	priority_score	factors_known	children_served_published	children_served_as_of	age_range_published	gender_served	schooling_arrangement_published	runs_own_school	funding_model_published	registration_published	nis_reg_no	nis_reg_date	nis_profile_url	licence_status	operator_or_umbrella	religious_affiliation_published	services	known_funders_or_partners	foreign_charity_registrations	social_media	all_emails	all_phones	volunteer_programme	volunteer_fee_published	safeguarding_policy_url	staff_count_published	latest_activity_date	red_flags	catchment_note	master_organisation_id	nearest_primary_campus	distance_to_primary_km	all_sources_json	email_type	phone_type	author_type_stated	locality_text
contact		Contact - Ujamaa Tanzania Foundation	https://www.ujamaachildren.org/contact		2026-09-22	2026-09-22	verified	official	Contact: hello@ujamaachildren.org; PO Box 12993 Arusha; Australian postal address in Port Melbourne.		Ujamaa Children's Home	ujamaachildren.org										Njiro															General enquiries	confirmed	email		hello@ujamaachildren.org					Published by Ujamaa Tanzania Foundation on its contact and home pages.																				research_only		welfare_customer	WCON_ujamaa_children_home_general_enquiries			low	Generic role email at the organisation's own domain.																							"[""hello@ujamaachildren.org""]"												"[{""url"": ""https://www.ujamaachildren.org/contact"", ""title"": ""Contact - Ujamaa Tanzania Foundation"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""email"", ""postal_address""], ""evidence_excerpt"": ""Contact: hello@ujamaachildren.org; PO Box 12993 Arusha; Australian postal address in Port Melbourne.""}]"	role	unknown		
contact		People - Ujamaa Tanzania Foundation	https://www.ujamaachildren.org/people		2026-09-22	2026-09-22	verified	official	Lists founder and director of programs, operations manager, house manager, social worker; 13 Tanzanian staff.		Ujamaa Children's Home	ujamaachildren.org										Njiro														Carley Mchome	Founder and Director of Programs	confirmed	website						https://www.ujamaachildren.org/people	Named with role on Ujamaa's own People page; no direct email or phone published.																				research_only		welfare_customer	WCON_ujamaa_children_home_carley_mchome			medium	Named individual in a professional role as published by the organisation.																																			"[{""url"": ""https://www.ujamaachildren.org/people"", ""title"": ""People - Ujamaa Tanzania Foundation"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""staff"", ""roles"", ""board""], ""evidence_excerpt"": ""Lists founder and director of programs, operations manager, house manager, social worker; 13 Tanzanian staff.""}]"		unknown		
contact		People - Ujamaa Tanzania Foundation	https://www.ujamaachildren.org/people		2026-09-22	2026-09-22	verified	official	Lists founder and director of programs, operations manager, house manager, social worker; 13 Tanzanian staff.		Ujamaa Children's Home	ujamaachildren.org										Njiro														Fatuma Iddi	Operations Manager	confirmed	website						https://www.ujamaachildren.org/people	Named with role on Ujamaa's own People page; no direct email or phone published.																				research_only		welfare_customer	WCON_ujamaa_children_home_fatuma_iddi			medium	Named individual in a professional role as published by the organisation.																																			"[{""url"": ""https://www.ujamaachildren.org/people"", ""title"": ""People - Ujamaa Tanzania Foundation"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""staff"", ""roles"", ""board""], ""evidence_excerpt"": ""Lists founder and director of programs, operations manager, house manager, social worker; 13 Tanzanian staff.""}]"		unknown		
contact		Contacts - Malaika Children's Friends	https://www.malaika-childrenfriends.org/contacts/?lang=en		2026-09-22	2026-09-22	verified	official	info@ email; Tanzania phones +255 787 288 870 and +255 784 505 555; PO Box 1708 Arusha; Milan office.		Malaika Children's Friends	malaika-childrenfriends.org										Moshono															Tanzania office / general enquiries	confirmed	email		info@malaika-childrenfriends.org			+255784505555		Published on Malaika's own Contacts page for the Tanzania office.																				research_only		welfare_customer	WCON_malaika_children_friends_office_general_enquiries			medium	Generic organisational email plus mobiles the organisation publishes as its contact lines.																							"[""info@malaika-childrenfriends.org""]"	"[""+255784505555"", ""+255787288870""]"											"[{""url"": ""https://www.malaika-childrenfriends.org/contacts/?lang=en"", ""title"": ""Contacts - Malaika Children's Friends"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""email"", ""phone"", ""postal_address""], ""evidence_excerpt"": ""info@ email; Tanzania phones +255 787 288 870 and +255 784 505 555; PO Box 1708 Arusha; Milan office.""}]"	role	unknown		
contact		ABOUT US | Samaritan Village Orphanage	https://www.samaritanvillageorphanage.org/about-us		2026-09-22	2026-09-22	verified	official	More than 70 children in permanent residence; preschool with three classrooms for ages 3-5 opened January 2025; clinic opened 2019.		Samaritan Village Orphanage	samaritanvillageorphanage.org										Moshono														Josephat Mmanyi	Director	confirmed	website						https://www.samaritanvillageorphanage.org/about-us	Named as Director on Samaritan Village's own About page; no direct route published.																				research_only		welfare_customer	WCON_samaritan_village_orphanage_josephat_mmanyi			medium	Named individual in a professional role as published by the organisation.																																			"[{""url"": ""https://www.samaritanvillageorphanage.org/about-us"", ""title"": ""ABOUT US | Samaritan Village Orphanage"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""founded"", ""leadership"", ""children_served"", ""preschool"", ""clinic""], ""evidence_excerpt"": ""More than 70 children in permanent residence; preschool with three classrooms for ages 3-5 opened January 2025; clinic opened 2019.""}]"		unknown		
contact		Samaritan Village Orphanage | PO Box 444 Yuba City, CA	https://www.samaritanvillageorphanage.org/		2026-09-22	2026-09-22	verified	official	Cares for orphaned, abandoned and trafficked children; site says government named it Most Outstanding Orphanage in Tanzania.	Email reconstructed from on-page text 'samaritan' followed by a linked 'vo@gmail.com'; verify before use.	Samaritan Village Orphanage	samaritanvillageorphanage.org										Moshono															US support office (Yuba City)	confirmed	email	samaritanvo@gmail.com				+15303004916		Published on Samaritan Village's own site (home and sponsor pages).																				research_only		welfare_customer	WCON_samaritan_village_orphanage_us_support_office			medium	Organisation's shared contact on a personal-domain (gmail) mailbox.																							"[""samaritanvo@gmail.com""]"	"[""+15303004916""]"											"[{""url"": ""https://www.samaritanvillageorphanage.org/"", ""title"": ""Samaritan Village Orphanage | PO Box 444 Yuba City, CA"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""contact"", ""services"", ""government_recognition""], ""evidence_excerpt"": ""Cares for orphaned, abandoned and trafficked children; site says government named it Most Outstanding Orphanage in Tanzania.""}, {""url"": ""https://www.samaritanvillageorphanage.org/sponsor"", ""title"": ""Sponsor | Samaritan Village Orphanage"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""email"", ""phone"", ""sponsorship""], ""evidence_excerpt"": ""Sponsorship tiers $20-$100 a month; $100 tier 'includes education'; US phone 530-300-4916; Yuba City PO Box.""}, {""url"": ""https://www.samaritanvillageorphanage.org/contact"", ""title"": ""Contact - Samaritan Village Orphanage"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""contacts""], ""evidence_excerpt"": ""Tanzania: P.O. Box 1317 Arusha, 0754 507 376, samvillagetz@gmail.com; US: 530-300-4916, samaritanvo@gmail.com.""}]"	shared	unknown		
contact		Love Our Tanzania Family	https://www.loveourtanzaniafamily.org/		2026-09-22	2026-09-22	needs_review	published	US funder: orphanage houses 30+ children aged 5-17 taken off the streets; Upendo Tiengo named 'Mama Director'; December 2025 matching drive.		Tumaini For Africa Orphanage											Njiro Road area														Upendo Tiengo	Mama Director	confirmed	website						https://www.loveourtanzaniafamily.org/	Named with role by the US funder Love Our Tanzania Family; no direct route published.																				research_only		welfare_customer	WCON_tumaini_for_africa_orphanage_upendo_tiengo			medium	Named individual in a professional role, published by a funder rather than the home itself.																																			"[{""url"": ""https://www.loveourtanzaniafamily.org/"", ""title"": ""Love Our Tanzania Family"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""published"", ""fetched"": true, ""facts_supported"": [""name"", ""children_served"", ""age_range"", ""director"", ""schooling"", ""latest_activity""], ""evidence_excerpt"": ""US funder: orphanage houses 30+ children aged 5-17 taken off the streets; Upendo Tiengo named 'Mama Director'; December 2025 matching drive.""}]"		unknown		
contact		Neema Village - A Baby Home, A Mothering Center, and A Widows Home	https://neemavillage.org/		2026-09-22	2026-09-22	verified	official	Baby home for abandoned, orphaned and at-risk babies, mothering centre and widows' home; US 501(c)(3) and Tanzanian NGO.		Neema Village Tanzania Inc											Waco, TX															General enquiries	confirmed	email		info@neemavillage.org		+12547175233			Published on Neema Village's own website (US office phone).																				research_only		welfare_customer	WCON_neema_village_general_enquiries			low	Role email at own domain; US office line.																							"[""info@neemavillage.org""]"	"[""+12547175233""]"											"[{""url"": ""https://neemavillage.org/"", ""title"": ""Neema Village - A Baby Home, A Mothering Center, and A Widows Home"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""name"", ""services"", ""email"", ""social_media"", ""registration""], ""evidence_excerpt"": ""Baby home for abandoned, orphaned and at-risk babies, mothering centre and widows' home; US 501(c)(3) and Tanzanian NGO.""}, {""url"": ""https://neemavillage.org/contact/"", ""title"": ""Contact - Neema Village"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""contacts""], ""evidence_excerpt"": ""US address P.O. Box 21553 Waco TX; phone 254-717-5233; no Tanzanian street address given.""}, {""url"": ""https://neemavillage.org/"", ""title"": ""Neema Village - A Baby Home, A Mothering Center, and A Widows Home"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""services"", ""contacts"", ""registration"", ""social_media""], ""evidence_excerpt"": ""US 501(c)(3) with 17-member board; baby home, mothering centre, special-needs day rehab; info@neemavillage.org.""}, {""url"": ""https://neemavillage.org/"", ""title"": ""Neema Village - home page"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""published"", ""fetched"": true, ""facts_supported"": [""description"", ""registration"", ""email"", ""phone""], ""evidence_excerpt"": ""Baby home, mothering centre and widows home in Arusha; US 501(c)3 Neema Village Tanzania, Inc.; info@neemavillage.org.""}]"	role	office		
contact		Volunteer in Africa - Neema Village	https://neemavillage.org/volunteer-in-africa/		2026-09-22	2026-09-22	verified	official	Volunteers stay up to one month; $100 housing deposit plus monthly housing; apply via volunteer@ email.		Neema Village Tanzania Inc											Waco, TX															Volunteer coordination	confirmed	email		volunteer@neemavillage.org					Published on Neema Village's volunteer page.																				research_only		welfare_customer	WCON_neema_village_volunteer_coordination			low	Role email at own domain.																							"[""volunteer@neemavillage.org""]"												"[{""url"": ""https://neemavillage.org/volunteer-in-africa/"", ""title"": ""Volunteer in Africa - Neema Village"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""volunteer_programme"", ""email""], ""evidence_excerpt"": ""Volunteers stay up to one month; $100 housing deposit plus monthly housing; apply via volunteer@ email.""}]"	role	unknown		
contact		Original Homepage - Neema Village	https://neemavillage.org/original-homepage/	2016-01-01	2026-09-22	2026-09-22	needs_review	official	Founded June 2012 as Neema House by a retired US couple serving as unpaid volunteers; 46 babies in January 2016.		Neema Village Tanzania Inc											Waco, TX														Michael and Dorris Fortson	Founders; Director and Co-Director	unknown	website						https://www.guidestar.org/profile/46-2762501	Named on Neema Village's original homepage (c. 2016) and GuideStar profile; current roles not confirmed.																				research_only		welfare_customer	WCON_neema_village_michael_and_dorris_fortson			medium	Named individuals in professional roles as published by the organisation and a charity directory.																																			"[{""url"": ""https://neemavillage.org/original-homepage/"", ""title"": ""Original Homepage - Neema Village"", ""source_date"": ""2016-01"", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""founded"", ""founders"", ""history""], ""evidence_excerpt"": ""Founded June 2012 as Neema House by a retired US couple serving as unpaid volunteers; 46 babies in January 2016.""}, {""url"": ""https://www.guidestar.org/profile/46-2762501"", ""title"": ""NEEMA VILLAGE TANZANIA INC. - GuideStar"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""directory"", ""fetched"": true, ""facts_supported"": [""foreign_registration"", ""tz_address"", ""leadership""], ""evidence_excerpt"": ""EIN 46-2762501, ruling year 2013; Tanzania address PO Box 13520 Arusha; director and co-director listed.""}]"		unknown		
