from_organisation	to_organisation	relationship_type	from_key	to_key	from_in_master	verification_status	pdpa_risk	notes	sources
Ujamaa Foundation (Australia)	Ujamaa Children's Home	funds	WORG_ujamaa_children_home	WORG_ujamaa_children_home		verified	low	Australian charity arm (The Trustee for Ujamaa Foundation, ABN 21 188 212 448) supports funding and governance.	"[{""url"": ""https://www.ujamaachildren.org/about"", ""title"": ""About - Ujamaa Tanzania Foundation"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""founded"", ""schooling"", ""safeguarding_policy"", ""capacity"", ""annual_reports""], ""evidence_excerpt"": ""Children attend 'high-quality English Medium school'; supplies and fees covered; home capped at 25 children; reports 2013-14 to 2024-25.""}, {""url"": ""https://abr.business.gov.au/ABN/View?abn=21188212448"", ""title"": ""ABN Lookup 21 188 212 448"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""foreign_registration""], ""evidence_excerpt"": ""The Trustee for Ujamaa Foundation: ABN active from 19 Nov 2013; ACNC-registered PBI; DGR endorsed.""}]"
Ujamaa Children's Trust (UK)	Ujamaa Children's Home	funds	WORG_ujamaa_children_home	WORG_ujamaa_children_home		verified	low	UK registered charity 1150850 per Ujamaa's site.	"[{""url"": ""https://www.ujamaachildren.org/"", ""title"": ""Ujamaa Tanzania Foundation | Supporting Children in Tanzania"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""name"", ""registration"", ""email"", ""children_served"", ""age_range"", ""founded""], ""evidence_excerpt"": ""Home page: 22 children in the home aged 2-18; registered as Tanzanian INGO, Australian and UK charity; hello@ email.""}, {""url"": ""https://www.ujamaachildren.org/people"", ""title"": ""People - Ujamaa Tanzania Foundation"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""staff"", ""roles"", ""board""], ""evidence_excerpt"": ""Lists founder and director of programs, operations manager, house manager, social worker; 13 Tanzanian staff.""}]"
Weily Tribe Foundation	Ujamaa Children's Home	funds	WORG_weily_tribe_foundation	WORG_ujamaa_children_home		needs_review	low	Australian foundation (Weily Tribe Foundation Pty Ltd, ACN 167 491 527); support evidenced in a report from about 2017, current status unknown.	"[{""url"": ""https://www.weilytribe.com/copy-of-umoja-orphanage"", ""title"": ""Ujamaa Children's Home | WeilyTribeFoundation"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""published"", ""fetched"": true, ""facts_supported"": [""funder""], ""evidence_excerpt"": ""Weily Tribe Foundation lists Ujamaa Children's Home as 'the latest addition to our supported projects'.""}]"
Love for the Least	Samaritan Village Orphanage	funds	WORG_love_for_least	WORG_samaritan_village_orphanage		verified	low	Texas-based charity; partnership since 2003; supports secondary and tertiary education placements.	"[{""url"": ""https://lovefortheleast.org/projects/tanzania/"", ""title"": ""Tanzania - Love for the Least"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""published"", ""fetched"": true, ""facts_supported"": [""funder""], ""evidence_excerpt"": ""Love for the Least: partnership since 2003, its longest-running; 60+ orphans from infants to a law student.""}]"
WATOYO Tanzania e.V.	Samaritan Village Orphanage	funds	WORG_watoyo	WORG_samaritan_village_orphanage		verified	low	German registered association; sponsors school fees for 7 children.	"[{""url"": ""https://watoyo-tanzania.de/en/samaritan-village-tanzania-en/"", ""title"": ""Samaritan Village Tanzania - WATOYO Tanzania e.V."", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""published"", ""fetched"": true, ""facts_supported"": [""funder"", ""schooling"", ""children_served""], ""evidence_excerpt"": ""German association sponsors school fees for 7 children; about 50 residents aged one month to 25 years.""}]"
Read With Me Arusha	Samaritan Village Orphanage	partners_with	WORG_read_with_me_arusha	WORG_samaritan_village_orphanage		verified	low	Literacy charity; raises school sponsorships.	"[{""url"": ""https://www.readwithmearusha.com/where-we-work/samaritan-village/"", ""title"": ""Samaritan Village - Read With Me Arusha"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""published"", ""fetched"": true, ""facts_supported"": [""partner"", ""children_served""], ""evidence_excerpt"": ""Read With Me Arusha raises sponsorships to get the children to school; over 75 children; operating since 1996.""}]"
Adventure Church of Yuba City	Samaritan Village Orphanage	partners_with		WORG_samaritan_village_orphanage		verified	low	Hosts the orphanage's USA board and donor giving.	"[{""url"": ""https://acyc.family/missions/samaritan-village-orphanage/"", ""title"": ""Samaritan Village Orphanage - Adventure Church of Yuba City"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""published"", ""fetched"": true, ""facts_supported"": [""partner"", ""founded""], ""evidence_excerpt"": ""Church hosts the orphanage's USA board; founded 1992, began caring for children in 1996.""}]"
Love Our Tanzania Family	Tumaini For Africa Orphanage	funds	WORG_love_our_family	WORG_tumaini_for_africa_orphanage		verified	low	Pays education (private English-speaking schools), food, facility and medical costs.	"[{""url"": ""https://www.loveourtanzaniafamily.org/"", ""title"": ""Love Our Tanzania Family"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""relationship""], ""evidence_excerpt"": ""US 501(c)(3) dedicated to the welfare of children at Tumaini For Africa Orphanage, Arusha.""}, {""url"": ""https://www.loveourtanzaniafamily.org/past-projects"", ""title"": ""Past Projects - Love Our Tanzania Family"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""schooling""], ""evidence_excerpt"": ""Lists enrolling every child in private English-speaking schools, solar power, water and a learning centre.""}]"
Love for the Least	Tumaini House (YWAM Arusha)	funds	WORG_love_for_least	WORG_tumaini_house		verified	low		"[{""url"": ""https://lovefortheleast.org/projects/tanzania/"", ""title"": ""Tanzania - Love for the Least"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""published"", ""fetched"": true, ""facts_supported"": [""relationship""], ""evidence_excerpt"": ""Tumaini House, a YWAM ministry in Arusha, listed as a supported project.""}]"
Youth With A Mission (YWAM) Arusha	Tumaini House (YWAM Arusha)	operates		WORG_tumaini_house		verified	low		"[{""url"": ""https://lovefortheleast.org/projects/tanzania/"", ""title"": ""Tanzania - Love for the Least"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""published"", ""fetched"": true, ""facts_supported"": [""relationship""], ""evidence_excerpt"": ""'Tumaini House in Arusha, Tanzania is a ministry of Youth With a Mission'.""}]"
