council,ward_no,ward,population,male,female,sex_ratio,households,avg_household_size,table,pdf_page,printed_page,source_url
Arusha City Council,1,Kati,2547,1313,1234,106,622,4.1,Table 2.7,62,36,https://www.nbs.go.tz/nbs/takwimu/Census2022/Administrative_units_Population_Distribution_Report_Tanzania_Mainland_volume1b.pdf
Arusha City Council,2,Kaloleni,7425,3464,3961,87,2444,3.0,Table 2.7,62,36,https://www.nbs.go.tz/nbs/takwimu/Census2022/Administrative_units_Population_Distribution_Report_Tanzania_Mainland_volume1b.pdf
Arusha City Council,3,Sekei,7707,3721,3986,93,2489,3.1,Table 2.7,62,36,https://www.nbs.go.tz/nbs/takwimu/Census2022/Administrative_units_Population_Distribution_Report_Tanzania_Mainland_volume1b.pdf
Arusha City Council,4,Themi,9204,4467,4737,94,2844,3.2,Table 2.7,62,36,https://www.nbs.go.tz/nbs/takwimu/Census2022/Administrative_units_Population_Distribution_Report_Tanzania_Mainland_volume1b.pdf
Arusha City Council,5,Daraja II,16555,7968,8587,93,5419,3.1,Table 2.7,62,36,https://www.nbs.go.tz/nbs/takwimu/Census2022/Administrative_units_Population_Distribution_Report_Tanzania_Mainland_volume1b.pdf
Arusha City Council,6,Unga Ltd,14006,6984,7022,99,4723,3.0,Table 2.7,62,36,https://www.nbs.go.tz/nbs/takwimu/Census2022/Administrative_units_Population_Distribution_Report_Tanzania_Mainland_volume1b.pdf
Arusha City Council,7,Ngarenaro,8812,4307,4505,96,3003,2.9,Table 2.7,62,36,https://www.nbs.go.tz/nbs/takwimu/Census2022/Administrative_units_Population_Distribution_Report_Tanzania_Mainland_volume1b.pdf
Arusha City Council,8,Levolosi,6317,3182,3135,101,1782,3.5,Table 2.7,62,36,https://www.nbs.go.tz/nbs/takwimu/Census2022/Administrative_units_Population_Distribution_Report_Tanzania_Mainland_volume1b.pdf
Arusha City Council,9,Kimandolu,28760,13289,15471,86,9417,3.1,Table 2.7,62,36,https://www.nbs.go.tz/nbs/takwimu/Census2022/Administrative_units_Population_Distribution_Report_Tanzania_Mainland_volume1b.pdf
Arusha City Council,10,Baraa,18331,8408,9923,85,5272,3.5,Table 2.7,62,36,https://www.nbs.go.tz/nbs/takwimu/Census2022/Administrative_units_Population_Distribution_Report_Tanzania_Mainland_volume1b.pdf
Arusha City Council,11,Oloirien,22926,10775,12151,89,7408,3.1,Table 2.7,62,36,https://www.nbs.go.tz/nbs/takwimu/Census2022/Administrative_units_Population_Distribution_Report_Tanzania_Mainland_volume1b.pdf
Arusha City Council,12,Moshono,26890,12450,14440,86,7285,3.7,Table 2.7,62,36,https://www.nbs.go.tz/nbs/takwimu/Census2022/Administrative_units_Population_Distribution_Report_Tanzania_Mainland_volume1b.pdf
Arusha City Council,13,Moivaro,12215,5720,6495,88,3401,3.6,Table 2.7,62,36,https://www.nbs.go.tz/nbs/takwimu/Census2022/Administrative_units_Population_Distribution_Report_Tanzania_Mainland_volume1b.pdf
Arusha City Council,14,Lemara,26884,12870,14014,92,8130,3.3,Table 2.7,62,36,https://www.nbs.go.tz/nbs/takwimu/Census2022/Administrative_units_Population_Distribution_Report_Tanzania_Mainland_volume1b.pdf
Arusha City Council,15,Terrat,20524,9646,10878,89,5211,3.9,Table 2.7,62,36,https://www.nbs.go.tz/nbs/takwimu/Census2022/Administrative_units_Population_Distribution_Report_Tanzania_Mainland_volume1b.pdf
