# TCDC licensed SACCOS as of 30 June 2022 - Arusha & Kilimanjaro regions subset (name|postal|licence class)
AAIDRO SACCOS LTD|BOX 3044 ARUSHA|A
ABAGAMBA KAMOI SACCOS LTD|P.O.BOX 1363, ARUSHA|A
ACU STAFF SACCOS LTD|BOX 16734 ARUSHA|A
AMANI SACCOS LTD|BOX 891 MOSHI|A
ARUMA SACCOS LTD|BOX 1525 ARUSHA|A
ARUSHA CITY STAFF SACCOS LTD|BOX 3013 ARUSHA|A
ARUSHA CLUB SACCOS LTD|BOX 909 ARUSHA|B
ARUSHA CUTTINGS SACCOS LTD|BOX 11123 ARUSHA|A
ARUSHA KURUGENZI SACCOS LTD|BOX 3050 ARUSHA|A
ARUSHA LMC STAFF SACCOS LTD|BOX 17047 ARUSHA|A
ARUSHA TAU SACCOS LTD|BOX 10471 ARUSHA|A
ARUSHA TBL SACCOS LTD|BOX 3104 ARUSHA|A
ARUSHA TEACHERS SACCOS LTD|BOX 10441 ARUSHA|A
ARUSHA TECHNICAL COLLEGE STAFF SACCOS LTD|BOX 296 ARUSHA|A
ARUSHA URBAN WATER SUPPLY AND SEWERAGE AUTHORITY SACCOS LTD|P.O.BOX 13600 ARUSHA|A
ARUSHA WOMEN IN BUSINESS SACCOS LTD|Box 6032, ARUSHA|B
ASILIA LODGES SACCOS LTD|BOX 1111 ARUSHA|A
BALIMI SACCOS LTD|BOX 14148 ARUSHA|A
BANANA SACCOS LTD|BOX 10123, Arusha|A
BARAA SACCOS LTD|BOX 3013 ARUSHA|A
BONITE BOTTLERS SACCOS LTD|BOX 1352 MOSHI|A
BRAEBURN STAFF SACCOS LTD|BOX 14268, ARUSHA|A
BURKA STAFF SACCOS LTD|BOX 90 ARUSHA|A
CAMARTEC SACCOS LTD|BOX 764 ARUSHA|A
DIVINE STAFF SACCOS LTD|BOX 3064 ARUSHA|A
ELCT HEADQUARTER STAFF SACCOS LTD|BOX 3033 ARUSHA|A
ELCT NORTHERN DIOCESE SACCOS LTD|BOX 7779 MOSHI|B
ENDELEVU SACCOS LTD|BOX 1156 ARUSHA|A
ENYOITO SACCOS LTD|BOX 15185, Arusha|A
ENZA SACCOS LTD|BOX 2750 ARUSHA|A
FIDES STAFF SACCOS LTD|BOX 1304 USA RIVER|A
FOO SACCOS LTD|BOX 8225 MOSHI|A
FRIEDKIN WORKERS SACCOS LTD|BOX 2782 ARUSHA|A
FRIENDS CORNER SACCOS LTD|BOX 1898 ARUSHA|A
